	hospital_name		version	hospital_location	hospital_address	license_number|[state]	"To the best of its knowledge and belief, the hospital has included all applicable standard charge information in accordance with the requirements of 45 CFR 180.50, and the information encoded is true, accurate, and complete as of the date indicated."																																		
2/5/2024	CDM	15	10001100	PBB DEXAMETHASONE SODIUM PHOS		IP		J1100	    	636	3	1.95	0.3	550	N/A	2.28	N/A	2.28	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	2.48	1.92	N/A	2.34	2.67	N/A	2.08	2.94	2.76	N/A	1.59	1.59	2.09	N/A	N/A
2/5/2024	CDM	16	10001100	PBB DEXAMETHASONE SODIUM PHOS		OP		J1100	    	636	3	1.95	0.11	3	0.13	2.28	0.63	2.28	0.14	0.39	0.13	0.13	0.39	0.14	0.76	0.14	2.48	1.92	0.75	2.34	2.67	N/A	2.08	2.94	2.76	0.72	1.59	1.59	2.07	0.14	0.75
2/5/2024	CDM	17	10001729	PBB INJECTION HYDROXYPROGESTERONE CAPROATE		IP		J1729	    	636	1719	1117.35	171.9	1719	N/A	1306.44	N/A	1306.44	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	1423.33	1098.44	N/A	1340.82	1529.91	N/A	1189.55	1684.62	1581.48	N/A	911.07	911.07	1196.42	N/A	N/A
2/5/2024	CDM	18	10001729	PBB INJECTION HYDROXYPROGESTERONE CAPROATE		OP		J1729	    	636	1719	1117.35	3.12	1719	3.12	1306.44	360.99	1306.44	3.43	40.65	3.21	13.64	40.65	3.31	435.56	3.24	1423.33	1098.44	431.33	1340.82	1529.91	N/A	1189.55	1684.62	1581.48	412.31	911.07	911.07	1184.39	3.28	429.75
2/5/2024	CDM	19	10002790	PBB RHO D IMMUNE GLOBULIN INJ		IP		J2790	    	636	233	151.45	23.3	550	N/A	177.08	N/A	177.08	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	192.92	148.89	N/A	181.74	207.37	N/A	161.24	228.34	214.36	N/A	123.49	123.49	162.17	N/A	N/A
2/5/2024	CDM	20	10002790	PBB RHO D IMMUNE GLOBULIN INJ		OP		J2790	    	636	233	151.45	23.3	233	77.3	177.08	48.93	177.08	85.03	230.35	79.62	76.83	230.35	81.94	59.04	80.39	192.92	148.89	58.47	181.74	207.37	N/A	161.24	228.34	214.36	55.88	123.49	123.49	160.54	81.17	58.25
2/5/2024	CDM	21	10003908	PBB SPLINTWHO WRIST COCK UP		IP		L3908	    	274	282	183.3	28.2	550	N/A	214.32	N/A	214.32	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	233.5	180.2	N/A	219.96	250.98	N/A	195.14	276.36	259.44	N/A	149.46	149.46	196.27	N/A	N/A
2/5/2024	CDM	22	10003908	PBB SPLINTWHO WRIST COCK UP		OP		L3908	    	274	282	183.3	28.2	282	N/A	214.32	59.22	214.32	N/A	223.63	N/A	59.22	223.63	N/A	71.46	N/A	233.5	180.2	70.76	219.96	250.98	N/A	195.14	276.36	259.44	67.64	149.46	149.46	194.3	N/A	70.5
2/5/2024	CDM	23	10007296	PBB KYLEENA 195MG		IP		J7296	    	636	2178	1415.7	217.8	2178	N/A	1655.28	N/A	1655.28	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	1803.38	1391.74	N/A	1698.84	1938.42	N/A	1507.18	2134.44	2003.76	N/A	1154.34	1154.34	1515.89	N/A	N/A
2/5/2024	CDM	24	10007296	PBB KYLEENA 195MG		OP		J7296	    	636	2178	1415.7	217.8	3283.07	1178.82	1655.28	457.38	1655.28	1296.7	3283.07	1214.18	1101.7	3283.07	1249.55	551.87	1225.97	1803.38	1391.74	546.51	1698.84	1938.42	1070.22	1507.18	2134.44	2003.76	522.4	1154.34	1154.34	1500.64	1237.76	544.5
2/5/2024	CDM	25	10007297	PBB LEVONORGESTREL IU 52MG 3 YR		IP		J7297	    	636	1700	1105	170	1700	N/A	1292	N/A	1292	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	1407.6	1086.3	N/A	1326	1513	N/A	1176.4	1666	1564	N/A	901	901	1183.2	N/A	N/A
2/5/2024	CDM	26	10007297	PBB LEVONORGESTREL IU 52MG 3 YR		OP		J7297	    	636	1700	1105	170	2518.4	732.29	1292	357	1292	805.52	2518.4	754.26	845.1	2518.4	776.23	430.75	761.58	1407.6	1086.3	426.56	1326	1513	862	1176.4	1666	1564	407.75	901	901	1171.3	768.9	425
2/5/2024	CDM	27	10007298	PBB LEVONORGESTREL IU 52MG 5 YR		IP		J7298	    	636	2030	1319.5	203	2030	N/A	1542.8	N/A	1542.8	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	1680.84	1297.17	N/A	1583.4	1806.7	N/A	1404.76	1989.4	1867.6	N/A	1075.9	1075.9	1412.88	N/A	N/A
2/5/2024	CDM	28	10007298	PBB LEVONORGESTREL IU 52MG 5 YR		OP		J7298	    	636	2030	1319.5	203	3283.07	1178.82	1542.8	426.3	1542.8	1296.7	3283.07	1214.18	1101.7	3283.07	1249.55	514.37	1225.97	1680.84	1297.17	509.37	1583.4	1806.7	1070.22	1404.76	1989.4	1867.6	486.89	1075.9	1075.9	1398.67	1237.76	507.5
2/5/2024	CDM	29	10007307	PBB IMPLANON CONTRACEPTIVE  ETONOGESTREL		IP		J7307	    	636	1623	1054.95	162.3	1623	N/A	1233.48	N/A	1233.48	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	1343.84	1037.1	N/A	1265.94	1444.47	N/A	1123.12	1590.54	1493.16	N/A	860.19	860.19	1129.61	N/A	N/A
2/5/2024	CDM	30	10007307	PBB IMPLANON CONTRACEPTIVE  ETONOGESTREL		OP		J7307	    	636	1623	1054.95	162.3	3255.59	1168.95	1233.48	340.83	1233.48	1285.85	3255.59	1204.02	1092.48	3255.59	1239.09	411.23	1215.71	1343.84	1037.1	407.25	1265.94	1444.47	1114.33	1123.12	1590.54	1493.16	389.28	860.19	860.19	1118.25	1227.4	405.75
2/5/2024	CDM	31	10007321	PBB HYALURONAN OR DERIVATIVE HYALGAN		IP		J7321	    	636	341	221.65	34.1	550	N/A	259.16	N/A	259.16	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	282.35	217.9	N/A	265.98	303.49	N/A	235.97	334.18	313.72	N/A	180.73	180.73	237.34	N/A	N/A
2/5/2024	CDM	32	10007321	PBB HYALURONAN OR DERIVATIVE HYALGAN		OP		J7321	    	636	341	221.65	34.1	341	75.77	259.16	71.61	259.16	83.35	225.79	78.04	72.51	225.79	80.32	86.4	78.8	282.35	217.9	85.57	265.98	303.49	N/A	235.97	334.18	313.72	81.79	180.73	180.73	234.95	79.56	85.25
2/5/2024	CDM	33	10007323	PBB EUFLEXXA INJ PER DOSE		IP		J7323	    	636	452	293.8	45.2	550	N/A	343.52	N/A	343.52	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	374.26	288.83	N/A	352.56	402.28	N/A	312.78	442.96	415.84	N/A	239.56	239.56	314.59	N/A	N/A
2/5/2024	CDM	34	10007323	PBB EUFLEXXA INJ PER DOSE		OP		J7323	    	636	452	293.8	45.2	452	123.14	343.52	94.92	343.52	135.45	366.96	126.83	129.47	366.96	130.53	114.53	128.07	374.26	288.83	113.41	352.56	402.28	N/A	312.78	442.96	415.84	108.42	239.56	239.56	311.43	129.3	113
2/5/2024	CDM	35	10007325	PBB SYNVISC		IP		J7325	    	636	32	20.8	3.2	550	N/A	24.32	N/A	24.32	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	26.5	20.45	N/A	24.96	28.48	N/A	22.14	31.36	29.44	N/A	16.96	16.96	22.27	N/A	N/A
2/5/2024	CDM	36	10007325	PBB SYNVISC		OP		J7325	    	636	32	20.8	3.2	32	8.77	24.32	6.72	24.32	9.65	26.13	9.03	9.65	26.13	9.3	8.11	9.12	26.5	20.45	8.03	24.96	28.48	N/A	22.14	31.36	29.44	7.68	16.96	16.96	22.05	9.21	8
2/5/2024	CDM	37	10010061	PBB DRAIN SKIN ABSCESS COMPLIC		IP		10061	    	361	1189	772.85	118.9	1189	N/A	903.64	N/A	903.64	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	984.49	759.77	N/A	927.42	1058.21	N/A	822.79	1165.22	1093.88	N/A	630.17	630.17	827.54	N/A	N/A
2/5/2024	CDM	38	10010061	PBB DRAIN SKIN ABSCESS COMPLIC		OP		10061	    	361	1189	772.85	118.9	1189	146.67	903.64	249.69	903.64	161.34	942.88	151.07	249.69	942.88	155.47	301.27	152.54	984.49	759.77	298.34	927.42	1058.21	216.24	822.79	1165.22	1093.88	285.18	630.17	630.17	819.22	154	297.25
2/5/2024	CDM	39	10010120	PBB REMOVE FOREIGN BODY SIMPLE		IP		10120	    	361	1189	772.85	118.9	1189	N/A	903.64	N/A	903.64	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	984.49	759.77	N/A	927.42	1058.21	N/A	822.79	1165.22	1093.88	N/A	630.17	630.17	827.54	N/A	N/A
2/5/2024	CDM	40	10010120	PBB REMOVE FOREIGN BODY SIMPLE		OP		10120	    	361	1189	772.85	118.9	1189	146.67	903.64	249.69	903.64	161.34	942.88	151.07	249.69	942.88	155.47	301.27	152.54	984.49	759.77	298.34	927.42	1058.21	216.24	822.79	1165.22	1093.88	285.18	630.17	630.17	819.22	154	297.25
2/5/2024	CDM	41	10010140	PBB DRAINAGE OF HEMATOMAFLUID		IP		10140	    	361	5210	3386.5	521	5210	N/A	3959.6	N/A	3959.6	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	4313.88	3329.19	N/A	4063.8	4636.9	N/A	3605.32	5105.8	4793.2	N/A	2761.3	2761.3	3626.16	N/A	N/A
2/5/2024	CDM	42	10010140	PBB DRAINAGE OF HEMATOMAFLUID		OP		10140	    	361	5210	3386.5	140	5210	508.87	3959.6	1094.1	3959.6	559.76	4131.53	524.14	1094.1	4131.53	539.4	1320.11	529.22	4313.88	3329.19	1307.29	4063.8	4636.9	879.21	3605.32	5105.8	4793.2	1249.62	2761.3	2761.3	3589.69	534.31	1302.5
2/5/2024	CDM	43	10010160	PBB PUNCTURE ASPIRATION OF ABSCESS HEMATOMA		IP		10160	    	361	534	347.1	53.4	534	N/A	405.84	N/A	405.84	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	442.15	341.23	N/A	416.52	475.26	N/A	369.53	523.32	491.28	N/A	283.02	283.02	371.66	N/A	N/A
2/5/2024	CDM	44	10010160	PBB PUNCTURE ASPIRATION OF ABSCESS HEMATOMA		OP		10160	    	361	534	347.1	53.4	560.2	146.67	405.84	112.14	405.84	161.34	423.46	151.07	112.14	423.46	155.47	135.31	152.54	442.15	341.23	133.99	416.52	475.26	216.24	369.53	523.32	491.28	128.08	283.02	283.02	367.93	154	133.5
2/5/2024	CDM	45	10011055	PBB TRIM HYPERKERATOTIC SKIN LESION ONE		IP		11055	    	361	492	319.8	49.2	492	N/A	373.92	N/A	373.92	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	407.38	314.39	N/A	383.76	437.88	N/A	340.46	482.16	452.64	N/A	260.76	260.76	342.43	N/A	N/A
2/5/2024	CDM	46	10011055	PBB TRIM HYPERKERATOTIC SKIN LESION ONE		OP		11055	    	361	492	319.8	49.2	492	146.67	373.92	103.32	373.92	161.34	390.16	151.07	103.32	390.16	155.47	124.66	152.54	407.38	314.39	123.45	383.76	437.88	108.57	340.46	482.16	452.64	118.01	260.76	260.76	338.99	154	123
2/5/2024	CDM	47	10011721	PBB DEBRIDEMENT OF NAILS 6 OR MORE		IP		11721	    	361	795	516.75	79.5	795	N/A	604.2	N/A	604.2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	658.26	508	N/A	620.1	707.55	N/A	550.14	779.1	731.4	N/A	421.35	421.35	553.32	N/A	N/A
2/5/2024	CDM	48	10011721	PBB DEBRIDEMENT OF NAILS 6 OR MORE		OP		11721	    	361	795	516.75	32.52	795	41.44	604.2	166.95	604.2	45.58	630.44	42.68	166.95	630.44	43.93	201.43	43.1	658.26	508	199.48	620.1	707.55	33.17	550.14	779.1	731.4	190.68	421.35	421.35	547.75	43.51	198.75
2/5/2024	CDM	49	10011730	PBB AVULSION NAIL PLATE SIMPLE SINGLE		IP		11730	    	361	668	434.2	66.8	668	N/A	507.68	N/A	507.68	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	553.1	426.85	N/A	521.04	594.52	N/A	462.26	654.64	614.56	N/A	354.04	354.04	464.93	N/A	N/A
2/5/2024	CDM	50	10011730	PBB AVULSION NAIL PLATE SIMPLE SINGLE		OP		11730	    	361	668	434.2	41.44	1129.05	41.44	507.68	140.28	507.68	45.58	529.72	42.68	140.28	529.72	43.93	169.26	43.1	553.1	426.85	167.62	521.04	594.52	108.57	462.26	654.64	614.56	160.22	966.31	1129.05	460.25	43.51	167
2/5/2024	CDM	51	10011981	PBB INSERT NONBIODEGRADABLE DRUG DEL IMPLANT		IP		11981	    	361	282	183.3	28.2	282	N/A	214.32	N/A	214.32	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	233.5	180.2	N/A	219.96	250.98	N/A	195.14	276.36	259.44	N/A	149.46	149.46	196.27	N/A	N/A
2/5/2024	CDM	52	10011981	PBB INSERT NONBIODEGRADABLE DRUG DEL IMPLANT		OP		11981	    	361	282	183.3	28.2	282	146.67	214.32	59.22	214.32	161.34	223.63	151.07	59.22	223.63	155.47	71.46	152.54	233.5	180.2	70.76	219.96	250.98	69.27	195.14	276.36	259.44	67.64	149.46	149.46	194.3	154	70.5
2/5/2024	CDM	53	10011983	PBB REMOVEINSERT DRUG IMPLANT		IP		11983	    	361	268	174.2	26.8	268	N/A	203.68	N/A	203.68	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	221.9	171.25	N/A	209.04	238.52	N/A	185.46	262.64	246.56	N/A	142.04	142.04	186.53	N/A	N/A
2/5/2024	CDM	54	10011983	PBB REMOVEINSERT DRUG IMPLANT		OP		11983	    	361	268	174.2	26.8	559.76	146.67	203.68	56.28	203.68	161.34	212.52	151.07	56.28	212.52	155.47	67.91	152.54	221.9	171.25	67.25	209.04	238.52	216.07	185.46	262.64	246.56	64.28	142.04	142.04	184.65	154	67
2/5/2024	CDM	55	10019000	PBB PUNCASPIR BREAST CYST		IP		19000	    	361	1453	944.45	145.3	1453	N/A	1104.28	N/A	1104.28	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	1203.08	928.47	N/A	1133.34	1293.17	N/A	1005.48	1423.94	1336.76	N/A	770.09	770.09	1011.29	N/A	N/A
2/5/2024	CDM	56	10019000	PBB PUNCASPIR BREAST CYST		OP		19000	    	361	1453	944.45	105.17	1453	334.27	1104.28	305.13	1104.28	367.7	1152.23	344.3	305.13	1152.23	354.33	368.16	347.64	1203.08	928.47	364.59	1133.34	1293.17	381.54	1005.48	1423.94	1336.76	348.5	770.09	770.09	1001.12	350.98	363.25
2/5/2024	CDM	57	10020550	PBB INJECTION TENDON SHEATH LIGAMENT		IP		20550	    	361	1039	675.35	103.9	1039	N/A	789.64	N/A	789.64	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	860.29	663.92	N/A	810.42	924.71	N/A	718.99	1018.22	955.88	N/A	550.67	550.67	723.14	N/A	N/A
2/5/2024	CDM	58	10020550	PBB INJECTION TENDON SHEATH LIGAMENT		OP		20550	    	361	1039	675.35	103.9	1129.05	151.87	789.64	218.19	789.64	167.06	823.93	156.43	218.19	823.93	160.98	263.26	157.94	860.29	663.92	260.7	810.42	924.71	160.62	718.99	1018.22	955.88	249.21	966.31	1129.05	715.87	159.46	259.75
2/5/2024	CDM	59	10020552	PBB INJECT TRIGGER POINT 1 OR 2		IP		20552	    	361	691	449.15	69.1	691	N/A	525.16	N/A	525.16	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	572.15	441.55	N/A	538.98	614.99	N/A	478.17	677.18	635.72	N/A	366.23	366.23	480.94	N/A	N/A
2/5/2024	CDM	60	10020552	PBB INJECT TRIGGER POINT 1 OR 2		OP		20552	    	361	691	449.15	69.1	691	151.87	525.16	145.11	525.16	167.06	547.96	156.43	145.11	547.96	160.98	175.08	157.94	572.15	441.55	173.39	538.98	614.99	160.62	478.17	677.18	635.72	165.74	366.23	366.23	476.1	159.46	172.75
2/5/2024	CDM	61	10020600	PBB ARTHROCNT ASPIRINJ SMALL JTBURSA NO US		IP		20600	    	361	903	586.95	90.3	903	N/A	686.28	N/A	686.28	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	747.68	577.02	N/A	704.34	803.67	N/A	624.88	884.94	830.76	N/A	478.59	478.59	628.49	N/A	N/A
2/5/2024	CDM	62	10020600	PBB ARTHROCNT ASPIRINJ SMALL JTBURSA NO US		OP		20600	    	361	903	586.95	90.3	903	151.87	686.28	189.63	686.28	167.06	716.08	156.43	189.63	716.08	160.98	228.8	157.94	747.68	577.02	226.58	704.34	803.67	160.62	624.88	884.94	830.76	216.59	478.59	478.59	622.17	159.46	225.75
2/5/2024	CDM	63	10020605	PBB ARTHROCNT ASPIRINJ INTERM JTBURS NO US		IP		20605	    	361	1051	683.15	105.1	1051	N/A	798.76	N/A	798.76	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	870.23	671.59	N/A	819.78	935.39	N/A	727.29	1029.98	966.92	N/A	557.03	557.03	731.5	N/A	N/A
2/5/2024	CDM	64	10020605	PBB ARTHROCNT ASPIRINJ INTERM JTBURS NO US		OP		20605	    	361	1051	683.15	105.1	1051	151.87	798.76	220.71	798.76	167.06	833.44	156.43	220.71	833.44	160.98	266.3	157.94	870.23	671.59	263.72	819.78	935.39	160.62	727.29	1029.98	966.92	252.08	557.03	557.03	724.14	159.46	262.75
2/5/2024	CDM	65	10020610	PBB ARTHROCNT ASPIRINJ MAJOR JTBURSA NO US		IP		20610	    	361	1195	776.75	119.5	1195	N/A	908.2	N/A	908.2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	989.46	763.61	N/A	932.1	1063.55	N/A	826.94	1171.1	1099.4	N/A	633.35	633.35	831.72	N/A	N/A
2/5/2024	CDM	66	10020610	PBB ARTHROCNT ASPIRINJ MAJOR JTBURSA NO US		OP		20610	    	361	1195	776.75	119.5	1195	151.87	908.2	250.95	908.2	167.06	947.63	156.43	250.95	947.63	160.98	302.79	157.94	989.46	763.61	299.85	932.1	1063.55	160.62	826.94	1171.1	1099.4	286.62	633.35	633.35	823.35	159.46	298.75
2/5/2024	CDM	67	10020611	PBB ARTHROCNT ASPIRINJ MAJOR JTBURSA US		IP		20611	    	361	2084	1354.6	208.4	2084	N/A	1583.84	N/A	1583.84	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	1725.55	1331.68	N/A	1625.52	1854.76	N/A	1442.13	2042.32	1917.28	N/A	1104.52	1104.52	1450.46	N/A	N/A
2/5/2024	CDM	68	10020611	PBB ARTHROCNT ASPIRINJ MAJOR JTBURSA US		OP		20611	    	361	2084	1354.6	140	2084	275.06	1583.84	437.64	1583.84	302.57	1652.61	283.31	437.64	1652.61	291.56	528.04	286.06	1725.55	1331.68	522.91	1625.52	1854.76	160.62	1442.13	2042.32	1917.28	499.84	966.31	1129.05	1435.88	288.81	521
2/5/2024	CDM	69	10027096	PBB INJECTIONSACROILIAC JOINT		IP		27096	    	361	2784	1809.6	278.4	2784	N/A	2115.84	N/A	2115.84	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	2305.15	1778.98	N/A	2171.52	2477.76	N/A	1926.53	2728.32	2561.28	N/A	1475.52	1475.52	1937.66	N/A	N/A
2/5/2024	CDM	70	10027096	PBB INJECTIONSACROILIAC JOINT		OP		27096	    	361	2784	1809.6	224	2784	275.06	2115.84	584.64	2115.84	302.57	2207.71	283.31	584.64	2207.71	291.56	705.41	286.06	2305.15	1778.98	698.56	2171.52	2477.76	N/A	1926.53	2728.32	2561.28	667.74	1297.9	1513.54	1918.18	288.81	696
2/5/2024	CDM	71	10036416	PBB COLLECTION CAPILLARY BLOOD SPECIMEN		IP		36416	    	300	21	13.65	2.1	21	N/A	15.96	N/A	15.96	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	17.39	13.42	N/A	16.38	18.69	N/A	14.53	20.58	19.32	N/A	11.13	11.13	14.62	N/A	N/A
2/5/2024	CDM	72	10036416	PBB COLLECTION CAPILLARY BLOOD SPECIMEN		OP		36416	    	300	21	13.65	2.1	21	2.3	15.96	4.41	15.96	2.53	16.65	2.37	4.41	16.65	2.44	5.3	2.39	17.39	13.42	5.24	16.38	18.69	N/A	14.53	20.58	19.32	5.02	11.13	11.13	14.47	2.42	5.25
2/5/2024	CDM	73	10051701	PBB INSERTNONINDWELLING BLADDER CATHETER		IP		51701	    	361	453	294.45	45.3	453	N/A	344.28	N/A	344.28	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	375.08	289.47	N/A	353.34	403.17	N/A	313.48	443.94	416.76	N/A	240.09	240.09	315.29	N/A	N/A
2/5/2024	CDM	74	10051701	PBB INSERTNONINDWELLING BLADDER CATHETER		OP		51701	    	361	453	294.45	43.17	453	43.17	344.28	95.13	344.28	47.49	359.23	44.47	95.13	359.23	45.76	114.78	44.9	375.08	289.47	113.67	353.34	403.17	69.27	313.48	443.94	416.76	108.65	240.09	240.09	312.12	45.33	113.25
2/5/2024	CDM	75	10054150	PBB CIRCUMCISIONCLAMPNEWBORN		IP		54150	    	361	1519	987.35	151.9	1519	N/A	1154.44	N/A	1154.44	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	1257.73	970.64	N/A	1184.82	1351.91	N/A	1051.15	1488.62	1397.48	N/A	805.07	805.07	1057.22	N/A	N/A
