	hospital_name		version	hospital_location	hospital_address	license_number|[state]	"To the best of its knowledge and belief, the hospital has included all applicable standard charge information in accordance with the requirements of 45 CFR 180.50, and the information encoded is true, accurate, and complete as of the date indicated."																																			
2/5/2024	CDM	9	10000108	PBB DIAB MANAGE TRN PER INDIV		IP		G0108	    	942	136	88.4	13.6	136	N/A	91.12	N/A	91.12	N/A	86.63	N/A	N/A	86.5	N/A	N/A	N/A	108.53	55.62	N/A	102	107.44	N/A	N/A	88.4	122.4	102	N/A	72.08	72.08	82.42	N/A	N/A
2/5/2024	CDM	10	10000108	PBB DIAB MANAGE TRN PER INDIV		OP		G0108	    	942	136	88.4	13.6	136	33.87	91.12	32.64	91.12	37.26	86.63	34.89	32.64	86.5	35.9	37.21	35.22	108.53	55.62	36.85	102	107.44	36.13	29.26	88.4	122.4	102	35.23	72.08	72.08	84.59	35.56	36.72
2/5/2024	CDM	11	10000109	PBB DIAB MANAGE TRN INDGROUP		IP		G0109	    	942	108	70.2	10.8	108	N/A	72.36	N/A	72.36	N/A	68.8	N/A	N/A	68.69	N/A	N/A	N/A	86.18	44.17	N/A	81	85.32	N/A	N/A	70.2	97.2	81	N/A	57.24	57.24	65.45	N/A	N/A
2/5/2024	CDM	12	10000109	PBB DIAB MANAGE TRN INDGROUP		OP		G0109	    	942	108	70.2	8.25	108	38.69	72.36	25.92	72.36	42.56	68.8	39.85	25.92	68.69	41.01	29.55	40.24	86.18	44.17	29.26	81	85.32	28.69	8.42	70.2	97.2	81	27.98	57.24	57.24	67.18	40.62	29.16
2/5/2024	CDM	13	10000171	PBB INJECTION BUMETANIDE 0 5MG		IP		S0171	    	250	9	5.85	0.9	9	N/A	6.03	N/A	6.03	N/A	5.73	N/A	N/A	5.72	N/A	N/A	N/A	7.18	3.68	N/A	6.75	7.11	N/A	N/A	5.85	8.1	6.75	N/A	4.77	4.77	5.45	N/A	N/A
2/5/2024	CDM	14	10000171	PBB INJECTION BUMETANIDE 0 5MG		OP		S0171	    	250	9	5.85	0.01	9	N/A	6.03	2.16	6.03	N/A	2.37	N/A	0.77	2.37	N/A	2.46	N/A	7.18	3.68	2.43	6.75	7.11	2.39	0.01	5.85	8.1	6.75	2.33	4.77	4.77	5.6	N/A	2.43
2/5/2024	CDM	15	10000585	PBB INJECTION ONABOTULINUMTOXINA		IP		J0585	    	636	16	10.4	1.6	550	N/A	10.72	N/A	10.72	N/A	10.19	N/A	N/A	10.18	N/A	N/A	N/A	12.77	6.54	N/A	12	12.64	N/A	N/A	10.4	14.4	12	N/A	8.48	8.48	9.7	N/A	N/A
2/5/2024	CDM	16	10000585	PBB INJECTION ONABOTULINUMTOXINA		OP		J0585	    	636	16	10.4	1.6	19.24	6.33	10.72	3.84	10.72	6.96	19.24	6.52	6.39	19.24	6.71	4.38	6.58	12.77	6.54	4.33	12	12.64	4.25	3.6	10.4	14.4	12	4.14	8.48	8.48	9.95	6.65	4.32
2/5/2024	CDM	17	10000696	PBB INJECTIONROCEPHIN 250 MG		IP		J0696	    	636	9	5.85	0.9	550	N/A	6.03	N/A	6.03	N/A	5.73	N/A	N/A	5.72	N/A	N/A	N/A	7.18	3.68	N/A	6.75	7.11	N/A	N/A	5.85	8.1	6.75	N/A	4.77	4.77	5.45	N/A	N/A
2/5/2024	CDM	18	10000696	PBB INJECTIONROCEPHIN 250 MG		OP		J0696	    	636	9	5.85	0.47	9	0.47	6.03	2.16	6.03	0.52	1.43	0.48	0.57	1.43	0.5	2.46	0.49	7.18	3.68	2.43	6.75	7.11	2.39	N/A	5.85	8.1	6.75	2.33	4.77	4.77	5.6	0.49	2.43
2/5/2024	CDM	19	10001020	PBB INJECTIONDEPOMEDROL 20 MG		IP		J1020	    	636	9	5.85	0.9	550	N/A	6.03	N/A	6.03	N/A	5.73	N/A	N/A	5.72	N/A	N/A	N/A	7.18	3.68	N/A	6.75	7.11	N/A	N/A	5.85	8.1	6.75	N/A	4.77	4.77	5.45	N/A	N/A
2/5/2024	CDM	20	10001020	PBB INJECTIONDEPOMEDROL 20 MG		OP		J1020	    	636	9	5.85	0.9	21.58	7.1	6.03	2.16	6.03	7.81	21.58	7.31	7.17	21.58	7.53	2.46	7.38	7.18	3.68	2.43	6.75	7.11	2.39	N/A	5.85	8.1	6.75	2.33	4.77	4.77	5.6	7.46	2.43
2/5/2024	CDM	21	10001030	PBB INJECTIONDEPOMEDROL 40 MG		IP		J1030	    	636	9	5.85	0.9	550	N/A	6.03	N/A	6.03	N/A	5.73	N/A	N/A	5.72	N/A	N/A	N/A	7.18	3.68	N/A	6.75	7.11	N/A	N/A	5.85	8.1	6.75	N/A	4.77	4.77	5.45	N/A	N/A
2/5/2024	CDM	22	10001030	PBB INJECTIONDEPOMEDROL 40 MG		OP		J1030	    	636	9	5.85	0.9	21.89	7.2	6.03	2.16	6.03	7.92	21.89	7.42	7.61	21.89	7.63	2.46	7.49	7.18	3.68	2.43	6.75	7.11	2.39	N/A	5.85	8.1	6.75	2.33	4.77	4.77	5.6	7.56	2.43
2/5/2024	CDM	23	10001040	PBB INJECTIONDEPOMEDROL 80 MG		IP		J1040	    	636	40	26	4	550	N/A	26.8	N/A	26.8	N/A	25.48	N/A	N/A	25.44	N/A	N/A	N/A	31.92	16.36	N/A	30	31.6	N/A	N/A	26	36	30	N/A	21.2	21.2	24.24	N/A	N/A
2/5/2024	CDM	24	10001040	PBB INJECTIONDEPOMEDROL 80 MG		OP		J1040	    	636	40	26	4	40	10.76	26.8	9.6	26.8	11.84	32.71	11.08	11.91	32.71	11.41	10.95	11.19	31.92	16.36	10.84	30	31.6	10.63	N/A	26	36	30	10.36	21.2	21.2	24.88	11.3	10.8
2/5/2024	CDM	25	10001050	PBB DEPO PROVERA 1 MG		IP		J1050	    	636	1	0.65	0.1	550	N/A	0.67	N/A	0.67	N/A	0.64	N/A	N/A	0.64	N/A	N/A	N/A	0.8	0.41	N/A	0.75	0.79	N/A	N/A	0.65	0.9	0.75	N/A	0.53	0.53	0.61	N/A	N/A
2/5/2024	CDM	26	10001050	PBB DEPO PROVERA 1 MG		OP		J1050	    	636	1	0.65	0.01	1	0.63	0.67	0.24	0.67	0.69	0.03	0.65	0.01	0.03	0.67	0.28	0.66	0.8	0.41	0.27	0.75	0.79	0.27	N/A	0.65	0.9	0.75	0.26	0.53	0.53	0.62	0.66	0.27
2/5/2024	CDM	27	10001100	PBB DEXAMETHASONE SODIUM PHOS		IP		J1100	    	636	9	5.85	0.9	550	N/A	6.03	N/A	6.03	N/A	5.73	N/A	N/A	5.72	N/A	N/A	N/A	7.18	3.68	N/A	6.75	7.11	N/A	N/A	5.85	8.1	6.75	N/A	4.77	4.77	5.45	N/A	N/A
2/5/2024	CDM	28	10001100	PBB DEXAMETHASONE SODIUM PHOS		OP		J1100	    	636	9	5.85	0.12	9	0.13	6.03	2.16	6.03	0.14	0.4	0.13	0.12	0.4	0.14	2.46	0.14	7.18	3.68	2.43	6.75	7.11	2.39	N/A	5.85	8.1	6.75	2.33	4.77	4.77	5.6	0.14	2.43
2/5/2024	CDM	29	10001200	PBB DIPHENHYDRAMINE HCL INJECTIO		IP		J1200	    	636	9	5.85	0.9	550	N/A	6.03	N/A	6.03	N/A	5.73	N/A	N/A	5.72	N/A	N/A	N/A	7.18	3.68	N/A	6.75	7.11	N/A	N/A	5.85	8.1	6.75	N/A	4.77	4.77	5.45	N/A	N/A
2/5/2024	CDM	30	10001200	PBB DIPHENHYDRAMINE HCL INJECTIO		OP		J1200	    	636	9	5.85	0.85	9	0.85	6.03	2.16	6.03	0.94	2.58	0.88	1.06	2.58	0.9	2.46	0.88	7.18	3.68	2.43	6.75	7.11	2.39	N/A	5.85	8.1	6.75	2.33	4.77	4.77	5.6	0.89	2.43
2/5/2024	CDM	31	10001729	PBB INJECTION HYDROXYPROGESTERONE CAPROATE		IP		J1729	    	636	1719	1117.35	171.9	1719	N/A	1151.73	N/A	1151.73	N/A	1095	N/A	N/A	1093.28	N/A	N/A	N/A	1371.76	703.07	N/A	1289.25	1358.01	N/A	N/A	1117.35	1547.1	1289.25	N/A	911.07	911.07	1041.71	N/A	N/A
2/5/2024	CDM	32	10001729	PBB INJECTION HYDROXYPROGESTERONE CAPROATE		OP		J1729	    	636	1719	1117.35	3.12	1719	3.12	1151.73	412.56	1151.73	3.43	41.47	3.21	13.64	41.47	3.31	470.4	3.24	1371.76	703.07	465.83	1289.25	1358.01	456.7	N/A	1117.35	1547.1	1289.25	445.29	911.07	911.07	1069.22	3.28	464.13
2/5/2024	CDM	33	10001740	PBB BONIVA IBANDRONATE SODIUM 1 MG		IP		J1740	    	636	375	243.75	37.5	550	N/A	251.25	N/A	251.25	N/A	238.88	N/A	N/A	238.5	N/A	N/A	N/A	299.25	153.38	N/A	281.25	296.25	N/A	N/A	243.75	337.5	281.25	N/A	198.75	198.75	227.25	N/A	N/A
2/5/2024	CDM	34	10001740	PBB BONIVA IBANDRONATE SODIUM 1 MG		OP		J1740	    	636	375	243.75	24.9	375	24.9	251.25	90	251.25	27.39	75.7	25.65	29.31	75.7	26.39	102.62	25.9	299.25	153.38	101.62	281.25	296.25	99.63	N/A	243.75	337.5	281.25	97.14	198.75	198.75	233.25	26.15	101.25
2/5/2024	CDM	35	10001885	PBB INJECTIONTORADOL PER 15 MG		IP		J1885	    	636	9	5.85	0.9	550	N/A	6.03	N/A	6.03	N/A	5.73	N/A	N/A	5.72	N/A	N/A	N/A	7.18	3.68	N/A	6.75	7.11	N/A	N/A	5.85	8.1	6.75	N/A	4.77	4.77	5.45	N/A	N/A
2/5/2024	CDM	36	10001885	PBB INJECTIONTORADOL PER 15 MG		OP		J1885	    	636	9	5.85	0.55	9	0.61	6.03	2.16	6.03	0.67	1.85	0.63	0.55	1.85	0.65	2.46	0.63	7.18	3.68	2.43	6.75	7.11	2.39	N/A	5.85	8.1	6.75	2.33	4.77	4.77	5.6	0.64	2.43
2/5/2024	CDM	37	10001940	PBB INJECTIONFUROSEMIDE UP TO 20 MG		IP		J1940	    	250	6	3.9	0.6	6	N/A	4.02	N/A	4.02	N/A	3.82	N/A	N/A	3.82	N/A	N/A	N/A	4.79	2.45	N/A	4.5	4.74	N/A	N/A	3.9	5.4	4.5	N/A	3.18	3.18	3.64	N/A	N/A
2/5/2024	CDM	38	10001940	PBB INJECTIONFUROSEMIDE UP TO 20 MG		OP		J1940	    	250	6	3.9	0.5	6	0.58	4.02	1.44	4.02	0.64	1.76	0.6	0.5	1.76	0.61	1.64	0.6	4.79	2.45	1.62	4.5	4.74	1.59	N/A	3.9	5.4	4.5	1.55	3.18	3.18	3.73	0.61	1.62
2/5/2024	CDM	39	10001950	PBB LEUPROLIDE ACETATE 375 MG		IP		J1950	    	636	1509	980.85	150.9	1509	N/A	1011.03	N/A	1011.03	N/A	961.23	N/A	N/A	959.72	N/A	N/A	N/A	1204.18	617.18	N/A	1131.75	1192.11	N/A	N/A	980.85	1358.1	1131.75	N/A	799.77	799.77	914.45	N/A	N/A
2/5/2024	CDM	40	10001950	PBB LEUPROLIDE ACETATE 375 MG		OP		J1950	    	636	1509	980.85	150.9	4633.99	1509	1011.03	362.16	1011.03	1659.9	4633.99	1554.27	1543.52	4633.99	1599.54	412.94	1569.36	1204.18	617.18	408.92	1131.75	1192.11	400.91	N/A	980.85	1358.1	1131.75	390.88	799.77	799.77	938.6	1584.45	407.43
2/5/2024	CDM	41	10002038	PBB FLUZONE INFLUENZA 3 YEARS AND OLDER		IP		Q2038	    	636	28	18.2	2.8	550	N/A	18.76	N/A	18.76	N/A	17.84	N/A	N/A	17.81	N/A	N/A	N/A	22.34	11.45	N/A	21	22.12	N/A	N/A	18.2	25.2	21	N/A	14.84	14.84	16.97	N/A	N/A
2/5/2024	CDM	42	10002038	PBB FLUZONE INFLUENZA 3 YEARS AND OLDER		OP		Q2038	    	636	28	18.2	0.01	28	8.66	18.76	6.72	18.76	9.53	0.03	8.92	0.01	0.03	9.18	7.66	9.01	22.34	11.45	7.58	21	22.12	7.44	12.28	18.2	25.2	21	7.25	14.84	14.84	17.42	9.09	7.56
2/5/2024	CDM	43	10002360	PBB INJECTIONORPHENADRINE UP		IP		J2360	    	250	38	24.7	3.8	38	N/A	25.46	N/A	25.46	N/A	24.21	N/A	N/A	24.17	N/A	N/A	N/A	30.32	15.54	N/A	28.5	30.02	N/A	N/A	24.7	34.2	28.5	N/A	20.14	20.14	23.03	N/A	N/A
2/5/2024	CDM	44	10002360	PBB INJECTIONORPHENADRINE UP		OP		J2360	    	250	38	24.7	3.8	38	4.67	25.46	9.12	25.46	5.14	14.2	4.81	16.54	14.2	4.95	10.4	4.86	30.32	15.54	10.3	28.5	30.02	10.1	N/A	24.7	34.2	28.5	9.84	20.14	20.14	23.64	4.9	10.26
2/5/2024	CDM	45	10002550	PBB INJECTIONPHENERGAN UP TO 50MG		IP		J2550	    	250	9	5.85	0.9	9	N/A	6.03	N/A	6.03	N/A	5.73	N/A	N/A	5.72	N/A	N/A	N/A	7.18	3.68	N/A	6.75	7.11	N/A	N/A	5.85	8.1	6.75	N/A	4.77	4.77	5.45	N/A	N/A
2/5/2024	CDM	46	10002550	PBB INJECTIONPHENERGAN UP TO 50MG		OP		J2550	    	250	9	5.85	0.9	10.58	3.48	6.03	2.16	6.03	3.83	10.58	3.58	3.15	10.58	3.69	2.46	3.62	7.18	3.68	2.43	6.75	7.11	2.39	N/A	5.85	8.1	6.75	2.33	4.77	4.77	5.6	3.65	2.43
2/5/2024	CDM	47	10002790	PBB RHO D IMMUNE GLOBULIN INJ		IP		J2790	    	636	233	151.45	23.3	550	N/A	156.11	N/A	156.11	N/A	148.42	N/A	N/A	148.19	N/A	N/A	N/A	185.93	95.3	N/A	174.75	184.07	N/A	N/A	151.45	209.7	174.75	N/A	123.49	123.49	141.2	N/A	N/A
2/5/2024	CDM	48	10002790	PBB RHO D IMMUNE GLOBULIN INJ		OP		J2790	    	636	233	151.45	23.3	234.99	77.3	156.11	55.92	156.11	85.03	234.99	79.62	81.83	234.99	81.94	63.76	80.39	185.93	95.3	63.13	174.75	184.07	61.9	N/A	151.45	209.7	174.75	60.36	123.49	123.49	144.93	81.17	62.91
2/5/2024	CDM	49	10002920	PBB INJECTIONMETHYLPREDNISOL		IP		J2920	    	250	9	5.85	0.9	9	N/A	6.03	N/A	6.03	N/A	5.73	N/A	N/A	5.72	N/A	N/A	N/A	7.18	3.68	N/A	6.75	7.11	N/A	N/A	5.85	8.1	6.75	N/A	4.77	4.77	5.45	N/A	N/A
2/5/2024	CDM	50	10002920	PBB INJECTIONMETHYLPREDNISOL		OP		J2920	    	250	9	5.85	0.9	10.43	3.43	6.03	2.16	6.03	3.77	10.43	3.53	4.24	10.43	3.64	2.46	3.57	7.18	3.68	2.43	6.75	7.11	2.39	N/A	5.85	8.1	6.75	2.33	4.77	4.77	5.6	3.6	2.43
2/5/2024	CDM	51	10002930	PBB INJECTMETHYLPREDNISOL		IP		J2930	    	636	14	9.1	1.4	550	N/A	9.38	N/A	9.38	N/A	8.92	N/A	N/A	8.9	N/A	N/A	N/A	11.17	5.73	N/A	10.5	11.06	N/A	N/A	9.1	12.6	10.5	N/A	7.42	7.42	8.48	N/A	N/A
2/5/2024	CDM	52	10002930	PBB INJECTMETHYLPREDNISOL		OP		J2930	    	636	14	9.1	1.4	15.17	4.99	9.38	3.36	9.38	5.49	15.17	5.14	5.73	15.17	5.29	3.83	5.19	11.17	5.73	3.79	10.5	11.06	3.72	N/A	9.1	12.6	10.5	3.63	7.42	7.42	8.71	5.24	3.78
2/5/2024	CDM	53	10003301	PBB INJECTIONTRIAMCINOLONE PER 10 MG		IP		J3301	    	636	9	5.85	0.9	550	N/A	6.03	N/A	6.03	N/A	5.73	N/A	N/A	5.72	N/A	N/A	N/A	7.18	3.68	N/A	6.75	7.11	N/A	N/A	5.85	8.1	6.75	N/A	4.77	4.77	5.45	N/A	N/A
2/5/2024	CDM	54	10003301	PBB INJECTIONTRIAMCINOLONE PER 10 MG		OP		J3301	    	636	9	5.85	0.9	9	1.16	6.03	2.16	6.03	1.28	3.53	1.19	1.01	3.53	1.23	2.46	1.21	7.18	3.68	2.43	6.75	7.11	2.39	N/A	5.85	8.1	6.75	2.33	4.77	4.77	5.6	1.22	2.43
2/5/2024	CDM	55	10003420	PBB INJECTIONVITAMIN B12 UP TO 1000MCG		IP		J3420	    	636	9	5.85	0.9	550	N/A	6.03	N/A	6.03	N/A	5.73	N/A	N/A	5.72	N/A	N/A	N/A	7.18	3.68	N/A	6.75	7.11	N/A	N/A	5.85	8.1	6.75	N/A	4.77	4.77	5.45	N/A	N/A
2/5/2024	CDM	56	10003420	PBB INJECTIONVITAMIN B12 UP TO 1000MCG		OP		J3420	    	636	9	5.85	0.9	9	1.33	6.03	2.16	6.03	1.46	4.04	1.37	1.31	4.04	1.41	2.46	1.38	7.18	3.68	2.43	6.75	7.11	2.39	N/A	5.85	8.1	6.75	2.33	4.77	4.77	5.6	1.4	2.43
2/5/2024	CDM	57	10003908	PBB SPLINTWHO WRIST COCK UP		IP		L3908	    	274	282	183.3	28.2	550	N/A	188.94	N/A	188.94	N/A	179.63	N/A	N/A	179.35	N/A	N/A	N/A	225.04	115.34	N/A	211.5	222.78	N/A	N/A	183.3	253.8	211.5	N/A	149.46	149.46	170.89	N/A	N/A
2/5/2024	CDM	58	10003908	PBB SPLINTWHO WRIST COCK UP		OP		L3908	    	274	282	183.3	28.2	282	N/A	188.94	67.68	188.94	N/A	179.63	N/A	67.68	179.35	N/A	77.17	N/A	225.04	115.34	76.41	211.5	222.78	74.92	N/A	183.3	253.8	211.5	73.05	149.46	149.46	175.4	N/A	76.14
2/5/2024	CDM	59	10007120	PBB RINGERS LACTATE INFUSION		IP		J7120	    	636	5	3.25	0.5	550	N/A	3.35	N/A	3.35	N/A	3.19	N/A	N/A	3.18	N/A	N/A	N/A	3.99	2.04	N/A	3.75	3.95	N/A	N/A	3.25	4.5	3.75	N/A	2.65	2.65	3.03	N/A	N/A
2/5/2024	CDM	60	10007120	PBB RINGERS LACTATE INFUSION		OP		J7120	    	636	5	3.25	0.5	7.45	2.45	3.35	1.2	3.35	2.7	7.45	2.52	2.39	7.45	2.6	1.37	2.55	3.99	2.04	1.35	3.75	3.95	1.33	N/A	3.25	4.5	3.75	1.3	2.65	2.65	3.11	2.57	1.35
2/5/2024	CDM	61	10007296	PBB KYLEENA 195MG		IP		J7296	    	636	2178	1415.7	217.8	2178	N/A	1459.26	N/A	1459.26	N/A	1387.39	N/A	N/A	1385.21	N/A	N/A	N/A	1738.04	890.8	N/A	1633.5	1720.62	N/A	N/A	1415.7	1960.2	1633.5	N/A	1154.34	1154.34	1319.87	N/A	N/A
2/5/2024	CDM	62	10007296	PBB KYLEENA 195MG		OP		J7296	    	636	2178	1415.7	217.8	3349.17	1178.82	1459.26	522.72	1459.26	1296.7	3349.17	1214.18	1101.7	3349.17	1249.55	596.01	1225.97	1738.04	890.8	590.22	1633.5	1720.62	578.65	1070.22	1415.7	1960.2	1633.5	564.19	1154.34	1154.34	1354.72	1237.76	588.06
2/5/2024	CDM	63	10007298	PBB LEVONORGESTREL IU 52MG 5 YR		IP		J7298	    	636	2030	1319.5	203	2030	N/A	1360.1	N/A	1360.1	N/A	1293.11	N/A	N/A	1291.08	N/A	N/A	N/A	1619.94	830.27	N/A	1522.5	1603.7	N/A	N/A	1319.5	1827	1522.5	N/A	1075.9	1075.9	1230.18	N/A	N/A
2/5/2024	CDM	64	10007298	PBB LEVONORGESTREL IU 52MG 5 YR		OP		J7298	    	636	2030	1319.5	203	3349.17	1178.82	1360.1	487.2	1360.1	1296.7	3349.17	1214.18	1101.7	3349.17	1249.55	555.51	1225.97	1619.94	830.27	550.11	1522.5	1603.7	539.33	1070.22	1319.5	1827	1522.5	525.85	1075.9	1075.9	1262.66	1237.76	548.1
2/5/2024	CDM	65	10007300	PBB INTRAUTERINE COPPER CONTRACEPTIVE		IP		J7300	    	636	1027	667.55	102.7	1027	N/A	688.09	N/A	688.09	N/A	654.2	N/A	N/A	653.17	N/A	N/A	N/A	819.55	420.04	N/A	770.25	811.33	N/A	N/A	667.55	924.3	770.25	N/A	544.31	544.31	622.36	N/A	N/A
2/5/2024	CDM	66	10007300	PBB INTRAUTERINE COPPER CONTRACEPTIVE		OP		J7300	    	636	1027	667.55	102.7	3116	1027	688.09	246.48	688.09	1129.7	3116	1057.81	1025	3116	1088.62	281.04	1068.08	819.55	420.04	278.3	770.25	811.33	272.85	1045.5	667.55	924.3	770.25	266.03	544.31	544.31	638.79	1078.35	277.29
2/5/2024	CDM	67	10007301	PBB LEVONORGESTREL IU 135 MG		IP		J7301	    	636	1385	900.25	138.5	1385	N/A	927.95	N/A	927.95	N/A	882.25	N/A	N/A	880.86	N/A	N/A	N/A	1105.23	566.46	N/A	1038.75	1094.15	N/A	N/A	900.25	1246.5	1038.75	N/A	734.05	734.05	839.31	N/A	N/A
2/5/2024	CDM	68	10007301	PBB LEVONORGESTREL IU 135 MG		OP		J7301	    	636	1385	900.25	138.5	2788.74	981.56	927.95	332.4	927.95	1079.72	2788.74	1011.01	917.35	2788.74	1040.45	379.01	1020.82	1105.23	566.46	375.32	1038.75	1094.15	367.97	891.14	900.25	1246.5	1038.75	358.77	734.05	734.05	861.47	1030.64	373.95
2/5/2024	CDM	69	10007307	PBB IMPLANON CONTRACEPTIVE  ETONOGESTREL		IP		J7307	    	636	1623	1054.95	162.3	1623	N/A	1087.41	N/A	1087.41	N/A	1033.85	N/A	N/A	1032.23	N/A	N/A	N/A	1295.15	663.81	N/A	1217.25	1282.17	N/A	N/A	1054.95	1460.7	1217.25	N/A	860.19	860.19	983.54	N/A	N/A
2/5/2024	CDM	70	10007307	PBB IMPLANON CONTRACEPTIVE  ETONOGESTREL		OP		J7307	    	636	1623	1054.95	162.3	3321.14	1168.95	1087.41	389.52	1087.41	1285.85	3321.14	1204.02	1092.48	3321.14	1239.09	444.14	1215.71	1295.15	663.81	439.82	1217.25	1282.17	431.2	1114.33	1054.95	1460.7	1217.25	420.41	860.19	860.19	1009.51	1227.4	438.21
2/5/2024	CDM	71	10007324	PBB ORTHOVISC INJ PER DOSE		IP		J7324	    	636	487	316.55	48.7	550	N/A	326.29	N/A	326.29	N/A	310.22	N/A	N/A	309.73	N/A	N/A	N/A	388.63	199.18	N/A	365.25	384.73	N/A	N/A	316.55	438.3	365.25	N/A	258.11	258.11	295.12	N/A	N/A
2/5/2024	CDM	72	10007324	PBB ORTHOVISC INJ PER DOSE		OP		J7324	    	636	487	316.55	48.7	487	136.26	326.29	116.88	326.29	149.89	414.23	140.35	117.38	414.23	144.44	133.27	141.71	388.63	199.18	131.97	365.25	384.73	129.39	N/A	316.55	438.3	365.25	126.15	258.11	258.11	302.91	143.07	131.49
2/5/2024	CDM	73	10007325	PBB SYNVISC		IP		J7325	    	636	32	20.8	3.2	550	N/A	21.44	N/A	21.44	N/A	20.38	N/A	N/A	20.35	N/A	N/A	N/A	25.54	13.09	N/A	24	25.28	N/A	N/A	20.8	28.8	24	N/A	16.96	16.96	19.39	N/A	N/A
2/5/2024	CDM	74	10007325	PBB SYNVISC		OP		J7325	    	636	32	20.8	3.2	32	8.77	21.44	7.68	21.44	9.65	26.66	9.03	9.62	26.66	9.3	8.76	9.12	25.54	13.09	8.67	24	25.28	8.5	N/A	20.8	28.8	24	8.29	16.96	16.96	19.9	9.21	8.64
2/5/2024	CDM	75	10007610	PBB ALBUTEROLINHAL SOLCOMPO		IP		J7610	    	250	9	5.85	0.9	9	N/A	6.03	N/A	6.03	N/A	5.73	N/A	N/A	5.72	N/A	N/A	N/A	7.18	3.68	N/A	6.75	7.11	N/A	N/A	5.85	8.1	6.75	N/A	4.77	4.77	5.45	N/A	N/A
