	hospital_name		version	hospital_location	hospital_address	license_number|[state]	"To the best of its knowledge and belief, the hospital has included all applicable standard charge information in accordance with the requirements of 45 CFR 180.50, and the information encoded is true, accurate, and complete as of the date indicated."																																													
2/15/2024	CDM	9	10000007	PBB IMMUNIZATIONPNEUMOCOCCAL MED		IP		90670	    	636	0.01	0.01	0.01	550	550	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	0.01	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0.01	0.01	N/A	N/A	N/A	N/A	0.01	N/A	N/A	N/A	N/A	550	N/A
2/15/2024	CDM	10	10000007	PBB IMMUNIZATIONPNEUMOCOCCAL MED		OP		90670	    	636	0.01	0.01	0.01	572.74	278.63	0.01	0.01	N/A	0.01	N/A	0.01	0.01	572.74	0.01	N/A	572.74	N/A	0.01	0.01	N/A	0.01	0.01	N/A	0.01	N/A	0.01	N/A	263.15	487.34	0.01	0.01	N/A	N/A	N/A	0.01	0.01	N/A	0.01	0	0.01	257.99	N/A
2/15/2024	CDM	11	10000008	PBB ROTATEQ VACCINE MED		IP		90680	    	636	192	124.8	19.2	550	550	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	96	N/A	N/A	N/A	82.37	95.04	N/A	N/A	N/A	92.16	N/A	N/A	144	99.84	N/A	N/A	N/A	N/A	153.6	N/A	N/A	N/A	N/A	550	N/A
2/15/2024	CDM	12	10000008	PBB ROTATEQ VACCINE MED		OP		90680	    	636	192	124.8	19.2	192	N/A	192	148.42	46.08	157.82	N/A	157.82	192	N/A	192	N/A	N/A	N/A	96	192	N/A	192	111.5	88.32	134.4	N/A	134.4	92.16	N/A	73.34	144	99.84	N/A	46.08	46.08	120.96	153.6	N/A	192	80.26	192	N/A	N/A
2/15/2024	CDM	13	10000009	PBB INFLUENZA VAC 4 VALENT PRSRV FREE 3 YRS PLUS		IP		90686	    	636	0.01	0.01	0.01	550	550	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	0.01	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0.01	0.01	N/A	N/A	N/A	N/A	0.01	N/A	N/A	N/A	N/A	550	N/A
2/15/2024	CDM	14	10000009	PBB INFLUENZA VAC 4 VALENT PRSRV FREE 3 YRS PLUS		OP		90686	    	636	0.01	0.01	0.01	49.62	24.14	0.01	0.01	N/A	0.01	N/A	0.01	0.01	49.62	0.01	N/A	49.62	N/A	0.01	0.01	N/A	0.01	0.01	N/A	0.01	N/A	0.01	N/A	22.8	42.22	0.01	0.01	N/A	N/A	N/A	0.01	0.01	N/A	0.01	0	0.01	22.35	N/A
2/15/2024	CDM	15	10000010	PBB TDAP VACCINE MED		IP		90715	    	636	0.01	0.01	0.01	550	550	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	0.01	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0.01	0.01	N/A	N/A	N/A	N/A	0.01	N/A	N/A	N/A	N/A	550	N/A
2/15/2024	CDM	16	10000010	PBB TDAP VACCINE MED		OP		90715	    	636	0.01	0.01	0.01	0.01	0.01	0.01	0.01	N/A	0.01	N/A	0.01	0.01	N/A	0.01	N/A	N/A	N/A	0.01	0.01	N/A	0.01	0.01	N/A	0.01	N/A	0.01	N/A	0.01	0.01	0.01	0.01	N/A	N/A	N/A	0.01	0.01	N/A	0.01	0	0.01	0.01	N/A
2/15/2024	CDM	17	10000011	PBB IMMUNIZATION PEDIARIX MED		IP		90723	    	250	0.01	0.01	0.01	0.01	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	0.01	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0.01	0.01	N/A	N/A	N/A	N/A	0.01	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	18	10000011	PBB IMMUNIZATION PEDIARIX MED		OP		90723	    	250	0.01	0.01	0.01	0.01	N/A	0.01	0.01	N/A	0.01	N/A	0.01	0.01	N/A	0.01	N/A	N/A	N/A	0.01	0.01	N/A	0.01	N/A	N/A	0.01	N/A	0.01	N/A	N/A	N/A	0.01	0.01	N/A	N/A	N/A	0.01	0.01	N/A	0.01	0	0.01	N/A	N/A
2/15/2024	CDM	19	10000012	PBB MENINGOCOCCAL CONJUGATE S MED		IP		90734	    	250	0.01	0.01	0.01	0.01	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	0.01	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0.01	0.01	N/A	N/A	N/A	N/A	0.01	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	20	10000012	PBB MENINGOCOCCAL CONJUGATE S MED		OP		90734	    	250	0.01	0.01	0.01	139.16	139.16	0.01	0.01	N/A	0.01	N/A	0.01	0.01	N/A	0.01	N/A	N/A	N/A	0.01	0.01	N/A	0.01	N/A	N/A	0.01	N/A	0.01	N/A	131.43	N/A	0.01	0.01	N/A	N/A	N/A	0.01	0.01	N/A	0.01	0	0.01	128.85	N/A
2/15/2024	CDM	21	10000013	PBB NEW PATIENT AGE 1839 WITH Q0091 AND G0101		IP		99395	    	761	144	93.6	14.4	144	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	72	N/A	N/A	N/A	61.78	71.28	N/A	N/A	N/A	69.12	N/A	N/A	108	74.88	N/A	N/A	N/A	N/A	115.2	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	22	10000013	PBB NEW PATIENT AGE 1839 WITH Q0091 AND G0101		OP		99395	    	761	144	93.6	14.4	144	72.84	144	111.31	34.56	118.37	N/A	118.37	144	N/A	144	N/A	N/A	N/A	72	144	N/A	144	60.62	66.24	100.8	N/A	100.8	69.12	68.79	50.54	108	74.88	N/A	34.56	34.56	90.72	115.2	N/A	80.07	0	144	67.44	N/A
2/15/2024	CDM	23	10000014	PBB NEW PATIENT AGE 4064 WITH Q0091 AND G0101		IP		99396	    	761	144	93.6	14.4	144	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	72	N/A	N/A	N/A	61.78	71.28	N/A	N/A	N/A	69.12	N/A	N/A	108	74.88	N/A	N/A	N/A	N/A	115.2	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	24	10000014	PBB NEW PATIENT AGE 4064 WITH Q0091 AND G0101		OP		99396	    	761	144	93.6	14.4	144	72.84	144	111.31	34.56	118.37	N/A	118.37	144	N/A	144	N/A	N/A	N/A	72	144	N/A	144	60.62	66.24	100.8	N/A	100.8	69.12	68.79	50.54	108	74.88	N/A	34.56	34.56	90.72	115.2	N/A	86.66	0	144	67.44	N/A
2/15/2024	CDM	25	10000015	PBB NEW PATIENT AGE OVER 65 ONLY G0101		IP		99397	    	761	144	93.6	14.4	144	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	72	N/A	N/A	N/A	61.78	71.28	N/A	N/A	N/A	69.12	N/A	N/A	108	74.88	N/A	N/A	N/A	N/A	115.2	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	26	10000015	PBB NEW PATIENT AGE OVER 65 ONLY G0101		OP		99397	    	761	144	93.6	14.4	144	72.84	144	111.31	34.56	118.37	N/A	118.37	144	N/A	144	N/A	N/A	N/A	72	144	N/A	144	60.62	66.24	100.8	N/A	100.8	69.12	68.79	50.54	108	74.88	N/A	34.56	34.56	90.72	115.2	N/A	91.1	0	144	67.44	N/A
2/15/2024	CDM	27	10000016	PBB NEW PATIENT AGE OVER 65 WITH Q0091 AND G0101		IP		99397	    	761	144	93.6	14.4	144	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	72	N/A	N/A	N/A	61.78	71.28	N/A	N/A	N/A	69.12	N/A	N/A	108	74.88	N/A	N/A	N/A	N/A	115.2	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	28	10000016	PBB NEW PATIENT AGE OVER 65 WITH Q0091 AND G0101		OP		99397	    	761	144	93.6	14.4	144	72.84	144	111.31	34.56	118.37	N/A	118.37	144	N/A	144	N/A	N/A	N/A	72	144	N/A	144	60.62	66.24	100.8	N/A	100.8	69.12	68.79	50.54	108	74.88	N/A	34.56	34.56	90.72	115.2	N/A	91.1	0	144	67.44	N/A
2/15/2024	CDM	29	10000017	PBB EP MCARE AGE 1839 ONLY G0101		IP		99395	    	761	144	93.6	14.4	144	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	72	N/A	N/A	N/A	61.78	71.28	N/A	N/A	N/A	69.12	N/A	N/A	108	74.88	N/A	N/A	N/A	N/A	115.2	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	30	10000017	PBB EP MCARE AGE 1839 ONLY G0101		OP		99395	    	761	144	93.6	14.4	144	72.84	144	111.31	34.56	118.37	N/A	118.37	144	N/A	144	N/A	N/A	N/A	72	144	N/A	144	60.62	66.24	100.8	N/A	100.8	69.12	68.79	50.54	108	74.88	N/A	34.56	34.56	90.72	115.2	N/A	80.07	0	144	67.44	N/A
2/15/2024	CDM	31	10000019	PBB EP MCARE AGE 1839 INCLUDES Q0091 AND G0101		IP		99395	    	761	144	93.6	14.4	144	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	72	N/A	N/A	N/A	61.78	71.28	N/A	N/A	N/A	69.12	N/A	N/A	108	74.88	N/A	N/A	N/A	N/A	115.2	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	32	10000019	PBB EP MCARE AGE 1839 INCLUDES Q0091 AND G0101		OP		99395	    	761	144	93.6	14.4	144	72.84	144	111.31	34.56	118.37	N/A	118.37	144	N/A	144	N/A	N/A	N/A	72	144	N/A	144	60.62	66.24	100.8	N/A	100.8	69.12	68.79	50.54	108	74.88	N/A	34.56	34.56	90.72	115.2	N/A	80.07	0	144	67.44	N/A
2/15/2024	CDM	33	10000020	PBB EP MCARE AGE 4064 ONLY G0101		IP		99396	    	761	144	93.6	14.4	144	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	72	N/A	N/A	N/A	61.78	71.28	N/A	N/A	N/A	69.12	N/A	N/A	108	74.88	N/A	N/A	N/A	N/A	115.2	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	34	10000020	PBB EP MCARE AGE 4064 ONLY G0101		OP		99396	    	761	144	93.6	14.4	144	72.84	144	111.31	34.56	118.37	N/A	118.37	144	N/A	144	N/A	N/A	N/A	72	144	N/A	144	60.62	66.24	100.8	N/A	100.8	69.12	68.79	50.54	108	74.88	N/A	34.56	34.56	90.72	115.2	N/A	86.66	0	144	67.44	N/A
2/15/2024	CDM	35	10000022	PBB EP MCARE AGE 4064 INCLUDES Q0091 AND G0101		IP		99396	    	761	144	93.6	14.4	144	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	72	N/A	N/A	N/A	61.78	71.28	N/A	N/A	N/A	69.12	N/A	N/A	108	74.88	N/A	N/A	N/A	N/A	115.2	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	36	10000022	PBB EP MCARE AGE 4064 INCLUDES Q0091 AND G0101		OP		99396	    	761	144	93.6	14.4	144	72.84	144	111.31	34.56	118.37	N/A	118.37	144	N/A	144	N/A	N/A	N/A	72	144	N/A	144	60.62	66.24	100.8	N/A	100.8	69.12	68.79	50.54	108	74.88	N/A	34.56	34.56	90.72	115.2	N/A	86.66	0	144	67.44	N/A
2/15/2024	CDM	37	10000023	PBB ESTABLISHED PATIENT AGE OVER 65 ONLY G0101		IP		99397	    	761	144	93.6	14.4	144	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	72	N/A	N/A	N/A	61.78	71.28	N/A	N/A	N/A	69.12	N/A	N/A	108	74.88	N/A	N/A	N/A	N/A	115.2	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	38	10000023	PBB ESTABLISHED PATIENT AGE OVER 65 ONLY G0101		OP		99397	    	761	144	93.6	14.4	144	72.84	144	111.31	34.56	118.37	N/A	118.37	144	N/A	144	N/A	N/A	N/A	72	144	N/A	144	60.62	66.24	100.8	N/A	100.8	69.12	68.79	50.54	108	74.88	N/A	34.56	34.56	90.72	115.2	N/A	91.1	0	144	67.44	N/A
2/15/2024	CDM	39	10000025	PBB MEDICARE PREVENTIVE VISIT EST65 AND OVER		IP		99397	    	761	144	93.6	14.4	144	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	72	N/A	N/A	N/A	61.78	71.28	N/A	N/A	N/A	69.12	N/A	N/A	108	74.88	N/A	N/A	N/A	N/A	115.2	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	40	10000025	PBB MEDICARE PREVENTIVE VISIT EST65 AND OVER		OP		99397	    	761	144	93.6	14.4	144	72.84	144	111.31	34.56	118.37	N/A	118.37	144	N/A	144	N/A	N/A	N/A	72	144	N/A	144	60.62	66.24	100.8	N/A	100.8	69.12	68.79	50.54	108	74.88	N/A	34.56	34.56	90.72	115.2	N/A	91.1	0	144	67.44	N/A
2/15/2024	CDM	41	10000026	PBB ADMIN FLU VACCINE MCARE PHC		IP		G0008	    	771	54	35.1	5.4	54	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	27	N/A	N/A	N/A	23.17	26.73	N/A	N/A	N/A	25.92	N/A	N/A	40.5	28.08	N/A	N/A	N/A	N/A	43.2	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	42	10000026	PBB ADMIN FLU VACCINE MCARE PHC		OP		G0008	    	771	54	35.1	5.4	172.96	17.42	54	41.74	42.25	44.39	43.51	44.39	54	128.12	54	42.25	128.12	42.25	27	54	43.51	54	22.73	24.84	37.8	43.97	37.8	25.92	16.45	120.64	40.5	28.08	41.19	12.96	12.96	34.02	43.2	42.25	41.31	22.57	54	16.13	41
2/15/2024	CDM	43	10000029	PBB SCREENING PELVICBREAST EXAM		IP		G0101	    	770	127	82.55	12.7	127	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	63.5	N/A	N/A	N/A	54.48	62.87	N/A	N/A	N/A	60.96	N/A	N/A	95.25	66.04	N/A	N/A	N/A	N/A	101.6	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	44	10000029	PBB SCREENING PELVICBREAST EXAM		OP		G0101	    	770	127	82.55	12.7	324.58	51.18	127	98.17	79.27	104.39	81.65	104.39	127	240.43	127	79.27	240.43	79.27	63.5	127	81.65	127	53.47	58.42	88.9	82.51	88.9	60.96	48.34	215.96	95.25	66.04	77.29	30.48	30.48	80.01	101.6	79.27	77.51	53.09	127	47.39	80.89
2/15/2024	CDM	45	10000030	PBB SCREEN PELVICBREAST EXAM		IP		G0101	    	770	127	82.55	12.7	127	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	63.5	N/A	N/A	N/A	54.48	62.87	N/A	N/A	N/A	60.96	N/A	N/A	95.25	66.04	N/A	N/A	N/A	N/A	101.6	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	46	10000030	PBB SCREEN PELVICBREAST EXAM		OP		G0101	    	770	127	82.55	12.7	324.58	51.18	127	98.17	79.27	104.39	81.65	104.39	127	240.43	127	79.27	240.43	79.27	63.5	127	81.65	127	53.47	58.42	88.9	82.51	88.9	60.96	48.34	215.96	95.25	66.04	77.29	30.48	30.48	80.01	101.6	79.27	77.51	53.09	127	47.39	80.89
2/15/2024	CDM	47	10000031	PBB FECAL BLOOD SCRN IMMUNOASSAY		IP		G0328	    	300	52	33.8	5.2	52	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	26	N/A	N/A	N/A	22.31	25.74	N/A	N/A	N/A	24.96	N/A	N/A	39	27.04	N/A	N/A	N/A	N/A	41.6	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	48	10000031	PBB FECAL BLOOD SCRN IMMUNOASSAY		OP		G0328	    	300	52	33.8	5.2	59.56	10.88	52	30.18	17.69	32.06	18.22	30.18	52	18.95	52	17.69	18.95	15.03	26	52	18.22	52	52	38.81	36.4	18.41	36.4	24.96	10.27	18.25	39	27.04	17.25	12.48	12.48	32.76	41.6	17.69	15.84	32.55	52	10.07	18.05
2/15/2024	CDM	49	10000032	PBB INITIAL PREVENTIVE EXAM		IP		G0402	    	761	266	172.9	26.6	266	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	133	N/A	N/A	N/A	114.11	131.67	N/A	N/A	N/A	127.68	N/A	N/A	199.5	138.32	N/A	N/A	N/A	N/A	212.8	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	50	10000032	PBB INITIAL PREVENTIVE EXAM		OP		G0402	    	761	266	172.9	26.6	481.37	N/A	266	205.62	117.56	218.65	121.09	218.65	266	356.57	266	117.56	356.57	117.56	133	266	121.09	266	111.99	122.36	186.2	122.36	186.2	127.68	N/A	344.11	199.5	138.32	114.62	63.84	63.84	167.58	212.8	117.56	266	0	266	N/A	119.96
2/15/2024	CDM	51	10000033	PBB EKG FOR INITIAL PREVENT EXAM		IP		G0403	    	761	3	1.95	0.3	3	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	1.5	N/A	N/A	N/A	1.29	1.48	N/A	N/A	N/A	1.44	N/A	N/A	2.25	1.56	N/A	N/A	N/A	N/A	2.4	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	52	10000033	PBB EKG FOR INITIAL PREVENT EXAM		OP		G0403	    	761	3	1.95	0.3	3	N/A	3	2.32	0.72	2.47	N/A	2.47	3	N/A	3	N/A	N/A	N/A	1.5	3	N/A	3	1.26	1.38	2.1	N/A	2.1	1.44	N/A	1.05	2.25	1.56	N/A	0.72	0.72	1.89	2.4	N/A	3	0	3	N/A	N/A
2/15/2024	CDM	53	10000034	PBB ANNUAL DEPRESSION SCREENING 15 MINUTES		IP		G0444	    	900	28	18.2	2.8	28	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	14	N/A	N/A	N/A	12.01	13.86	N/A	N/A	N/A	13.44	N/A	N/A	21	14.56	N/A	N/A	N/A	N/A	22.4	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	54	10000034	PBB ANNUAL DEPRESSION SCREENING 15 MINUTES		OP		G0444	    	900	28	18.2	2.8	104.5	N/A	28	21.64	25.62	23.02	26.39	23.02	28	77.41	28	25.62	77.41	25.62	14	28	26.39	28	11.79	12.88	19.6	26.56	19.6	13.44	N/A	84.5	21	14.56	24.98	6.72	6.72	17.64	22.4	25.62	28	11.7	28	N/A	26.04
2/15/2024	CDM	55	10000035	PBB FIRST PRENATALPRENATAL RISK ASSESSMENT		IP		H1000	    	761	22	14.3	2.2	22	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	11	N/A	N/A	N/A	9.44	10.89	N/A	N/A	N/A	10.56	N/A	N/A	16.5	11.44	N/A	N/A	N/A	N/A	17.6	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	56	10000035	PBB FIRST PRENATALPRENATAL RISK ASSESSMENT		OP		H1000	    	761	22	14.3	2.2	22	N/A	22	17.01	5.28	18.08	N/A	18.08	22	3.37	22	N/A	3.37	N/A	11	22	N/A	22	9.26	10.12	15.4	N/A	15.4	10.56	N/A	7.72	16.5	11.44	N/A	5.28	5.28	13.86	17.6	N/A	22	0	22	N/A	N/A
2/15/2024	CDM	57	10000036	PBB HIGH RISK PATIENT MONITORING		IP		H1001	    	761	28	18.2	2.8	28	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	14	N/A	N/A	N/A	12.01	13.86	N/A	N/A	N/A	13.44	N/A	N/A	21	14.56	N/A	N/A	N/A	N/A	22.4	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	58	10000036	PBB HIGH RISK PATIENT MONITORING		OP		H1001	    	761	28	18.2	2.8	28	N/A	28	21.64	6.72	23.02	N/A	23.02	28	4.28	28	N/A	4.28	N/A	14	28	N/A	28	11.79	12.88	19.6	N/A	19.6	13.44	N/A	9.83	21	14.56	N/A	6.72	6.72	17.64	22.4	N/A	28	0	28	N/A	N/A
2/15/2024	CDM	59	10000037	PBB CARE COORDINATION		IP		H1002	    	761	22	14.3	2.2	22	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	11	N/A	N/A	N/A	9.44	10.89	N/A	N/A	N/A	10.56	N/A	N/A	16.5	11.44	N/A	N/A	N/A	N/A	17.6	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	60	10000037	PBB CARE COORDINATION		OP		H1002	    	761	22	14.3	2.2	22	N/A	22	17.01	5.28	18.08	N/A	18.08	22	3.37	22	N/A	3.37	N/A	11	22	N/A	22	9.26	10.12	15.4	N/A	15.4	10.56	N/A	7.72	16.5	11.44	N/A	5.28	5.28	13.86	17.6	N/A	22	0	22	N/A	N/A
2/15/2024	CDM	61	10000038	PBB INDIVIDUAL PREG COUNSELING  EDUCATION		IP		H1003	    	761	28	18.2	2.8	28	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	14	N/A	N/A	N/A	12.01	13.86	N/A	N/A	N/A	13.44	N/A	N/A	21	14.56	N/A	N/A	N/A	N/A	22.4	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	62	10000038	PBB INDIVIDUAL PREG COUNSELING  EDUCATION		OP		H1003	    	761	28	18.2	2.8	28	N/A	28	21.64	6.72	23.02	N/A	23.02	28	4.28	28	N/A	4.28	N/A	14	28	N/A	28	11.79	12.88	19.6	N/A	19.6	13.44	N/A	9.83	21	14.56	N/A	6.72	6.72	17.64	22.4	N/A	28	0	28	N/A	N/A
2/15/2024	CDM	63	10000039	PBB 17 ALPHA HYDROXYPROGESTERONE CAPROATE		IP		J3490	    	250	170	110.5	17	170	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	85	N/A	N/A	N/A	72.93	84.15	N/A	N/A	N/A	81.6	N/A	N/A	127.5	88.4	N/A	N/A	N/A	N/A	136	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	64	10000039	PBB 17 ALPHA HYDROXYPROGESTERONE CAPROATE		OP		J3490	    	250	170	110.5	17	170	N/A	170	131.41	N/A	139.74	N/A	139.74	170	N/A	170	N/A	N/A	N/A	85	170	N/A	170	71.57	78.2	119	N/A	119	81.6	N/A	59.67	127.5	88.4	N/A	40.8	40.8	107.1	136	N/A	170	0	170	N/A	N/A
