	hospital_name		version	hospital_location	hospital_address	license_number|[state]	"To the best of its knowledge and belief, the hospital has included all applicable standard charge information in accordance with the requirements of 45 CFR 180.50, and the information encoded is true, accurate, and complete as of the date indicated."																																						
2/15/2024	CDM	16	10000016	PBB NEW PATIENT AGE OVER 65 WITH Q0091 AND G0101		OP		99397	    	761	144	93.6	14.4	144	72.84	144	111.31	24.48	116.93	N/A	118.37	144	N/A	144	N/A	N/A	144	N/A	144	81.36	64.51	72	100.8	N/A	69.12	68.79	57.6	108	74.88	N/A	44.64	91.1	0	144	N/A
2/15/2024	CDM	17	10000017	PBB EP MCARE AGE 1839 ONLY G0101		IP		99395	    	761	144	93.6	14.4	144	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	N/A	N/A	77.33	64.51	90.72	N/A	N/A	69.12	N/A	N/A	108	74.88	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	18	10000017	PBB EP MCARE AGE 1839 ONLY G0101		OP		99395	    	761	144	93.6	14.4	144	72.84	144	111.31	24.48	116.93	N/A	118.37	144	N/A	144	N/A	N/A	144	N/A	144	81.36	64.51	72	100.8	N/A	69.12	68.79	57.6	108	74.88	N/A	44.64	80.07	0	144	N/A
2/15/2024	CDM	19	10000019	PBB EP MCARE AGE 1839 INCLUDES Q0091 AND G0101		IP		99395	    	761	144	93.6	14.4	144	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	N/A	N/A	77.33	64.51	90.72	N/A	N/A	69.12	N/A	N/A	108	74.88	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	20	10000019	PBB EP MCARE AGE 1839 INCLUDES Q0091 AND G0101		OP		99395	    	761	144	93.6	14.4	144	72.84	144	111.31	24.48	116.93	N/A	118.37	144	N/A	144	N/A	N/A	144	N/A	144	81.36	64.51	72	100.8	N/A	69.12	68.79	57.6	108	74.88	N/A	44.64	80.07	0	144	N/A
2/15/2024	CDM	21	10000020	PBB EP MCARE AGE 4064 ONLY G0101		IP		99396	    	761	144	93.6	14.4	144	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	N/A	N/A	77.33	64.51	90.72	N/A	N/A	69.12	N/A	N/A	108	74.88	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	22	10000020	PBB EP MCARE AGE 4064 ONLY G0101		OP		99396	    	761	144	93.6	14.4	144	72.84	144	111.31	24.48	116.93	N/A	118.37	144	N/A	144	N/A	N/A	144	N/A	144	81.36	64.51	72	100.8	N/A	69.12	68.79	57.6	108	74.88	N/A	44.64	86.66	0	144	N/A
2/15/2024	CDM	23	10000022	PBB EP MCARE AGE 4064 INCLUDES Q0091 AND G0101		IP		99396	    	761	144	93.6	14.4	144	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	N/A	N/A	77.33	64.51	90.72	N/A	N/A	69.12	N/A	N/A	108	74.88	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	24	10000022	PBB EP MCARE AGE 4064 INCLUDES Q0091 AND G0101		OP		99396	    	761	144	93.6	14.4	144	72.84	144	111.31	24.48	116.93	N/A	118.37	144	N/A	144	N/A	N/A	144	N/A	144	81.36	64.51	72	100.8	N/A	69.12	68.79	57.6	108	74.88	N/A	44.64	86.66	0	144	N/A
2/15/2024	CDM	25	10000023	PBB ESTABLISHED PATIENT AGE OVER 65 ONLY G0101		IP		99397	    	761	144	93.6	14.4	144	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	N/A	N/A	77.33	64.51	90.72	N/A	N/A	69.12	N/A	N/A	108	74.88	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	26	10000023	PBB ESTABLISHED PATIENT AGE OVER 65 ONLY G0101		OP		99397	    	761	144	93.6	14.4	144	72.84	144	111.31	24.48	116.93	N/A	118.37	144	N/A	144	N/A	N/A	144	N/A	144	81.36	64.51	72	100.8	N/A	69.12	68.79	57.6	108	74.88	N/A	44.64	91.1	0	144	N/A
2/15/2024	CDM	27	10000025	PBB MEDICARE PREVENTIVE VISIT EST65 AND OVER		IP		99397	    	761	144	93.6	14.4	144	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	N/A	N/A	77.33	64.51	90.72	N/A	N/A	69.12	N/A	N/A	108	74.88	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	28	10000025	PBB MEDICARE PREVENTIVE VISIT EST65 AND OVER		OP		99397	    	761	144	93.6	14.4	144	72.84	144	111.31	24.48	116.93	N/A	118.37	144	N/A	144	N/A	N/A	144	N/A	144	81.36	64.51	72	100.8	N/A	69.12	68.79	57.6	108	74.88	N/A	44.64	91.1	0	144	N/A
2/15/2024	CDM	29	10000029	PBB SCREENING PELVICBREAST EXAM		IP		G0101	    	770	127	82.55	12.7	127	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	N/A	N/A	68.2	56.9	80.01	N/A	N/A	60.96	N/A	N/A	95.25	66.04	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	30	10000029	PBB SCREENING PELVICBREAST EXAM		OP		G0101	    	770	127	82.55	12.7	284.56	51.18	127	98.17	75.75	103.12	78.03	104.39	127	284.56	127	75.75	284.56	127	78.03	127	71.75	56.9	63.5	88.9	77.27	60.96	48.34	273.23	95.25	66.04	73.86	39.37	73.47	58.67	127	77.3
2/15/2024	CDM	31	10000030	PBB SCREEN PELVICBREAST EXAM		IP		G0101	    	770	127	82.55	12.7	127	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	N/A	N/A	68.2	56.9	80.01	N/A	N/A	60.96	N/A	N/A	95.25	66.04	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	32	10000030	PBB SCREEN PELVICBREAST EXAM		OP		G0101	    	770	127	82.55	12.7	284.56	51.18	127	98.17	75.75	103.12	78.03	104.39	127	284.56	127	75.75	284.56	127	78.03	127	71.75	56.9	63.5	88.9	77.27	60.96	48.34	273.23	95.25	66.04	73.86	39.37	73.47	58.67	127	77.3
2/15/2024	CDM	33	10000031	PBB FECAL BLOOD SCRN IMMUNOASSAY		IP		G0328	    	300	52	33.8	5.2	52	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	N/A	N/A	27.92	23.3	32.76	N/A	N/A	24.96	N/A	N/A	39	27.04	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	34	10000031	PBB FECAL BLOOD SCRN IMMUNOASSAY		OP		G0328	    	300	52	33.8	5.2	59.56	10.88	52	30.18	17.69	32.06	18.22	30.18	52	18.95	52	17.69	18.95	52	18.22	52	52	23.3	41.52	36.4	18.04	24.96	10.27	20.8	39	27.04	17.25	16.12	15.84	32.55	52	18.05
2/15/2024	CDM	35	10000032	PBB INITIAL PREVENTIVE EXAM		IP		G0402	    	761	266	172.9	26.6	266	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	N/A	N/A	142.84	119.17	167.58	N/A	N/A	127.68	N/A	N/A	199.5	138.32	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	36	10000032	PBB INITIAL PREVENTIVE EXAM		OP		G0402	    	761	266	172.9	26.6	435.35	N/A	266	205.62	112.35	215.99	115.72	218.65	266	422.03	266	112.35	422.03	266	115.72	266	150.29	119.17	133	186.2	114.6	127.68	N/A	435.35	199.5	138.32	109.54	82.46	266	0	266	114.64
2/15/2024	CDM	37	10000033	PBB EKG FOR INITIAL PREVENT EXAM		IP		G0403	    	761	3	1.95	0.3	3	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	N/A	N/A	1.61	1.34	1.89	N/A	N/A	1.44	N/A	N/A	2.25	1.56	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	38	10000033	PBB EKG FOR INITIAL PREVENT EXAM		OP		G0403	    	761	3	1.95	0.3	3	N/A	3	2.32	0.51	2.44	N/A	2.47	3	N/A	3	N/A	N/A	3	N/A	3	1.69	1.34	1.5	2.1	N/A	1.44	N/A	1.2	2.25	1.56	N/A	0.93	3	0	3	N/A
2/15/2024	CDM	39	10000034	PBB ANNUAL DEPRESSION SCREENING 15 MINUTES		IP		G0444	    	900	28	18.2	2.8	28	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	N/A	N/A	15.04	12.54	17.64	N/A	N/A	13.44	N/A	N/A	21	14.56	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	40	10000034	PBB ANNUAL DEPRESSION SCREENING 15 MINUTES		OP		G0444	    	900	28	18.2	2.8	106.91	N/A	28	21.64	24.48	22.74	25.22	23.02	28	91.61	28	24.48	91.61	28	25.22	28	15.82	12.54	14	19.6	24.97	13.44	N/A	106.91	21	14.56	23.87	8.68	28	12.94	28	24.88
2/15/2024	CDM	41	10000035	PBB FIRST PRENATALPRENATAL RISK ASSESSMENT		IP		H1000	    	761	22	14.3	2.2	22	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	N/A	N/A	11.81	9.86	13.86	N/A	N/A	10.56	N/A	N/A	16.5	11.44	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	42	10000035	PBB FIRST PRENATALPRENATAL RISK ASSESSMENT		OP		H1000	    	761	22	14.3	2.2	22	N/A	22	17.01	3.74	17.86	N/A	18.08	22	3.59	22	N/A	3.59	22	N/A	22	12.43	9.86	11	15.4	N/A	10.56	N/A	8.8	16.5	11.44	N/A	6.82	22	0	22	N/A
2/15/2024	CDM	43	10000036	PBB HIGH RISK PATIENT MONITORING		IP		H1001	    	761	28	18.2	2.8	28	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	N/A	N/A	15.04	12.54	17.64	N/A	N/A	13.44	N/A	N/A	21	14.56	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	44	10000036	PBB HIGH RISK PATIENT MONITORING		OP		H1001	    	761	28	18.2	2.8	28	N/A	28	21.64	4.76	22.74	N/A	23.02	28	4.56	28	N/A	4.56	28	N/A	28	15.82	12.54	14	19.6	N/A	13.44	N/A	11.2	21	14.56	N/A	8.68	28	0	28	N/A
2/15/2024	CDM	45	10000037	PBB CARE COORDINATION		IP		H1002	    	761	22	14.3	2.2	22	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	N/A	N/A	11.81	9.86	13.86	N/A	N/A	10.56	N/A	N/A	16.5	11.44	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	46	10000037	PBB CARE COORDINATION		OP		H1002	    	761	22	14.3	2.2	22	N/A	22	17.01	3.74	17.86	N/A	18.08	22	3.59	22	N/A	3.59	22	N/A	22	12.43	9.86	11	15.4	N/A	10.56	N/A	8.8	16.5	11.44	N/A	6.82	22	0	22	N/A
2/15/2024	CDM	47	10000038	PBB INDIVIDUAL PREG COUNSELING  EDUCATION		IP		H1003	    	761	28	18.2	2.8	28	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	N/A	N/A	15.04	12.54	17.64	N/A	N/A	13.44	N/A	N/A	21	14.56	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	48	10000038	PBB INDIVIDUAL PREG COUNSELING  EDUCATION		OP		H1003	    	761	28	18.2	2.8	28	N/A	28	21.64	4.76	22.74	N/A	23.02	28	4.56	28	N/A	4.56	28	N/A	28	15.82	12.54	14	19.6	N/A	13.44	N/A	11.2	21	14.56	N/A	8.68	28	0	28	N/A
2/15/2024	CDM	49	10000040	PBB INJECTIONBETAMETHASONE ACETATE PER 3MG		IP		J0702	    	250	71	46.15	7.1	71	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	N/A	N/A	38.13	31.81	44.73	N/A	N/A	34.08	N/A	N/A	53.25	36.92	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	50	10000040	PBB INJECTIONBETAMETHASONE ACETATE PER 3MG		OP		J0702	    	250	71	46.15	7.1	71	N/A	71	54.88	N/A	57.65	N/A	58.36	71	N/A	71	N/A	N/A	71	N/A	71	40.11	31.81	35.5	49.7	N/A	34.08	N/A	35.67	53.25	36.92	N/A	22.01	71	0	71	N/A
2/15/2024	CDM	51	10000041	PBB PAP SMEAR MED		IP		Q0091	    	311	108	70.2	10.8	108	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	N/A	N/A	58	48.38	68.04	N/A	N/A	51.84	N/A	N/A	81	56.16	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	52	10000041	PBB PAP SMEAR MED		OP		Q0091	    	311	108	70.2	10.8	108	17.1	108	83.48	25.3	87.7	26.06	88.78	108	95.07	108	25.3	95.07	108	26.06	108	61.02	48.38	54	75.6	25.81	51.84	16.15	89.89	81	56.16	24.67	33.48	24.55	15.5	108	25.82
2/15/2024	CDM	53	10000042	PBB INJECTION ONDANSETRON HC		IP		J2405	    	250	9	5.85	0.9	9	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	N/A	N/A	4.83	4.03	5.67	N/A	N/A	4.32	N/A	N/A	6.75	4.68	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	54	10000042	PBB INJECTION ONDANSETRON HC		OP		J2405	    	250	9	5.85	0.13	9	N/A	9	6.96	N/A	7.31	N/A	7.4	9	N/A	9	N/A	N/A	9	N/A	9	5.08	4.03	4.5	6.3	N/A	4.32	N/A	3.7	6.75	4.68	N/A	2.79	9	0	9	N/A
2/15/2024	CDM	55	10000071	PBB NEW PATIENT 1839 YEARS ONLY G0101		IP		99395	    	761	144	93.6	14.4	144	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	N/A	N/A	77.33	64.51	90.72	N/A	N/A	69.12	N/A	N/A	108	74.88	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	56	10000071	PBB NEW PATIENT 1839 YEARS ONLY G0101		OP		99395	    	761	144	93.6	14.4	144	72.84	144	111.31	24.48	116.93	N/A	118.37	144	N/A	144	N/A	N/A	144	N/A	144	81.36	64.51	72	100.8	N/A	69.12	68.79	57.6	108	74.88	N/A	44.64	80.07	0	144	N/A
2/15/2024	CDM	57	10000108	PBB DIAB MANAGE TRN PER INDIV		IP		G0108	    	942	181	117.65	18.1	181	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	N/A	N/A	97.2	81.09	114.03	N/A	N/A	86.88	N/A	N/A	135.75	94.12	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	58	10000108	PBB DIAB MANAGE TRN PER INDIV		OP		G0108	    	942	181	117.65	18.1	181	30.99	181	139.91	50.38	146.97	51.89	148.78	181	51.41	181	50.38	51.41	181	51.89	181	102.26	81.09	90.5	126.7	51.39	86.88	29.26	101.51	135.75	94.12	49.12	56.11	50.31	83.62	181	51.41
2/15/2024	CDM	59	10000109	PBB DIAB MANAGE TRN INDGROUP		IP		G0109	    	942	141	91.65	14.1	141	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	N/A	N/A	75.72	63.17	88.83	N/A	N/A	67.68	N/A	N/A	105.75	73.32	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	60	10000109	PBB DIAB MANAGE TRN INDGROUP		OP		G0109	    	942	141	91.65	8.25	141	8.91	141	108.99	14.49	114.49	14.93	115.9	141	14.79	141	14.49	14.79	141	14.93	141	79.66	63.17	70.5	98.7	14.78	67.68	8.42	28.74	105.75	73.32	14.13	43.71	14.26	65.14	141	14.79
2/15/2024	CDM	61	10000111	PBB WET MOUNTS W PREPARATIONS		IP		Q0111	    	311	31	20.15	3.1	31	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	N/A	N/A	16.65	13.89	19.53	N/A	N/A	14.88	N/A	N/A	23.25	16.12	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	62	10000111	PBB WET MOUNTS W PREPARATIONS		OP		Q0111	    	311	31	20.15	3.1	58.61	10.7	31	25.33	17.4	26.91	17.92	25.33	31	18.65	31	17.4	18.65	31	17.92	31	31	13.89	31	21.7	17.75	14.88	10.11	12.4	23.25	16.12	16.97	9.61	15.18	8.73	31	17.76
2/15/2024	CDM	63	10000114	PBB FERN TEST		IP		Q0114	    	300	33	21.45	3.3	33	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	N/A	N/A	17.72	14.78	20.79	N/A	N/A	15.84	N/A	N/A	24.75	17.16	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	64	10000114	PBB FERN TEST		OP		Q0114	    	300	33	21.45	3.3	33	5.86	33	16.28	9.55	17.29	9.83	16.28	33	10.23	33	9.55	10.23	33	9.83	33	33	14.78	22.4	23.1	9.74	15.84	5.54	13.2	24.75	17.16	9.31	10.23	8.54	14.64	33	9.74
2/15/2024	CDM	65	10000171	PBB INJECTION BUMETANIDE 0 5MG		IP		S0171	    	250	9	5.85	0.9	9	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	N/A	N/A	4.83	4.03	5.67	N/A	N/A	4.32	N/A	N/A	6.75	4.68	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	66	10000171	PBB INJECTION BUMETANIDE 0 5MG		OP		S0171	    	250	9	5.85	0.01	9	0.01	9	6.96	1.53	7.31	N/A	7.4	9	1.47	9	N/A	1.47	9	N/A	9	5.08	4.03	4.5	6.3	N/A	4.32	0.01	3.6	6.75	4.68	N/A	2.79	9	0	9	N/A
2/15/2024	CDM	67	10000585	PBB INJECTION ONABOTULINUMTOXINA		IP		J0585	    	636	16	10.4	1.6	550	550	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	N/A	N/A	N/A	7.17	10.08	N/A	N/A	7.68	N/A	N/A	12	8.32	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	68	10000585	PBB INJECTION ONABOTULINUMTOXINA		OP		J0585	    	636	16	10.4	1.6	22.6	3.81	16	12.37	6.23	12.99	6.41	13.15	16	22.6	16	6.23	22.6	16	6.41	16	6.69	7.17	8	11.2	6.35	7.68	3.6	10.25	12	8.32	6.07	4.96	16	7.39	16	6.33
2/15/2024	CDM	69	10000696	PBB INJECTIONROCEPHIN 250 MG		IP		J0696	    	636	58	37.7	5.8	550	550	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	N/A	N/A	N/A	25.98	36.54	N/A	N/A	27.84	N/A	N/A	43.5	30.16	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	70	10000696	PBB INJECTIONROCEPHIN 250 MG		OP		J0696	    	636	58	37.7	0.58	58	N/A	58	44.83	N/A	47.1	N/A	47.68	58	N/A	58	N/A	N/A	58	N/A	58	0.58	25.98	29	40.6	N/A	27.84	N/A	23.73	43.5	30.16	N/A	17.98	58	26.8	58	N/A
2/15/2024	CDM	71	10001020	PBB INJECTIONDEPOMEDROL 20 MG		IP		J1020	    	636	9	5.85	0.9	550	550	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	N/A	N/A	N/A	4.03	5.67	N/A	N/A	4.32	N/A	N/A	6.75	4.68	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	72	10001020	PBB INJECTIONDEPOMEDROL 20 MG		OP		J1020	    	636	9	5.85	0.9	9	N/A	9	6.96	N/A	7.31	N/A	7.4	9	N/A	9	N/A	N/A	9	N/A	9	5.07	4.03	4.5	6.3	N/A	4.32	N/A	9	6.75	4.68	N/A	2.79	9	4.16	9	N/A
2/15/2024	CDM	73	10001030	PBB INJECTIONDEPOMEDROL 40 MG		IP		J1030	    	636	9	5.85	0.9	550	550	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	N/A	N/A	N/A	4.03	5.67	N/A	N/A	4.32	N/A	N/A	6.75	4.68	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	74	10001030	PBB INJECTIONDEPOMEDROL 40 MG		OP		J1030	    	636	9	5.85	0.9	9	N/A	9	6.96	N/A	7.31	N/A	7.4	9	N/A	9	N/A	N/A	9	N/A	9	8.87	4.03	4.5	6.3	N/A	4.32	N/A	9	6.75	4.68	N/A	2.79	9	4.16	9	N/A
2/15/2024	CDM	75	10001040	PBB INJECTIONDEPOMEDROL 80 MG		IP		J1040	    	636	40	26	4	550	550	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	N/A	N/A	N/A	17.92	25.2	N/A	N/A	19.2	N/A	N/A	30	20.8	N/A	N/A	N/A	N/A	N/A	N/A
