	hospital_name		version	hospital_location	hospital_address	license_number|[state]	"To the best of its knowledge and belief, the hospital has included all applicable standard charge information in accordance with the requirements of 45 CFR 180.50, and the information encoded is true, accurate, and complete as of the date indicated."																																									
2/15/2024	CDM	9	10000048	PBB RF NEEDLE		IP			    	272	61	39.65	6.1	61	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	42.52	35.5	N/A	40.87	42.09	N/A	N/A	N/A	N/A	N/A	54.9	N/A	N/A	26.23	26.23	N/A	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	10	10000048	PBB RF NEEDLE		OP			    	272	61	39.65	6.1	61	N/A	38.31	17.38	N/A	38.31	N/A	41.05	N/A	N/A	41.05	N/A	N/A	42.52	35.5	N/A	40.87	42.09	N/A	N/A	36.6	N/A	N/A	54.9	48.8	N/A	34.16	34.16	36.6	N/A	48.19	N/A	N/A	N/A	N/A
2/15/2024	CDM	11	10000049	PBB STIMUPLEX NEEDLE 20GA 6		IP			    	272	72	46.8	7.2	72	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	50.18	41.9	N/A	48.24	49.68	N/A	N/A	N/A	N/A	N/A	64.8	N/A	N/A	30.96	30.96	N/A	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	12	10000049	PBB STIMUPLEX NEEDLE 20GA 6		OP			    	272	72	46.8	7.2	72	N/A	45.22	20.52	N/A	45.22	N/A	48.46	N/A	N/A	48.46	N/A	N/A	50.18	41.9	N/A	48.24	49.68	N/A	N/A	43.2	N/A	N/A	64.8	57.6	N/A	40.32	40.32	43.2	N/A	56.88	N/A	N/A	N/A	N/A
2/15/2024	CDM	13	10000050	PBB CURVE TIP NEEDLE		IP			    	272	161	104.65	16.1	161	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	112.22	93.7	N/A	107.87	111.09	N/A	N/A	N/A	N/A	N/A	144.9	N/A	N/A	69.23	69.23	N/A	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	14	10000050	PBB CURVE TIP NEEDLE		OP			    	272	161	104.65	16.1	161	N/A	101.11	45.88	N/A	101.11	N/A	108.35	N/A	N/A	108.35	N/A	N/A	112.22	93.7	N/A	107.87	111.09	N/A	N/A	96.6	N/A	N/A	144.9	128.8	N/A	90.16	90.16	96.6	N/A	127.19	N/A	N/A	N/A	N/A
2/15/2024	CDM	15	10000051	PBB SCREENING CABLE		IP			    	272	801	520.65	80.1	801	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	558.3	466.18	N/A	536.67	552.69	N/A	N/A	N/A	N/A	N/A	720.9	N/A	N/A	344.43	344.43	N/A	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	16	10000051	PBB SCREENING CABLE		OP			    	272	801	520.65	80.1	801	N/A	503.03	228.28	N/A	503.03	N/A	539.07	N/A	N/A	539.07	N/A	N/A	558.3	466.18	N/A	536.67	552.69	N/A	N/A	480.6	N/A	N/A	720.9	640.8	N/A	448.56	448.56	480.6	N/A	632.79	N/A	N/A	N/A	N/A
2/15/2024	CDM	17	10000052	PBB PT PROGRAMMER 37742		IP			    	270	3050	1982.5	305	3050	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	2125.85	1775.1	N/A	2043.5	2104.5	N/A	N/A	N/A	N/A	N/A	2745	N/A	N/A	1311.5	1311.5	N/A	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	18	10000052	PBB PT PROGRAMMER 37742		OP			    	270	3050	1982.5	305	3050	N/A	1915.4	869.25	N/A	1915.4	N/A	2052.65	N/A	N/A	2052.65	N/A	N/A	2125.85	1775.1	N/A	2043.5	2104.5	N/A	N/A	1830	N/A	N/A	2745	2440	N/A	1708	1708	1830	N/A	2409.5	N/A	N/A	N/A	N/A
2/15/2024	CDM	19	10000053	PBB LONG NEEDLE		IP			    	272	148	96.2	14.8	148	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	103.16	86.14	N/A	99.16	102.12	N/A	N/A	N/A	N/A	N/A	133.2	N/A	N/A	63.64	63.64	N/A	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	20	10000053	PBB LONG NEEDLE		OP			    	272	148	96.2	14.8	148	N/A	92.94	42.18	N/A	92.94	N/A	99.6	N/A	N/A	99.6	N/A	N/A	103.16	86.14	N/A	99.16	102.12	N/A	N/A	88.8	N/A	N/A	133.2	118.4	N/A	82.88	82.88	88.8	N/A	116.92	N/A	N/A	N/A	N/A
2/15/2024	CDM	21	10000054	PBB WRENCHES AND SCREWS		IP			    	272	161	104.65	16.1	161	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	112.22	93.7	N/A	107.87	111.09	N/A	N/A	N/A	N/A	N/A	144.9	N/A	N/A	69.23	69.23	N/A	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	22	10000054	PBB WRENCHES AND SCREWS		OP			    	272	161	104.65	16.1	161	N/A	101.11	45.88	N/A	101.11	N/A	108.35	N/A	N/A	108.35	N/A	N/A	112.22	93.7	N/A	107.87	111.09	N/A	N/A	96.6	N/A	N/A	144.9	128.8	N/A	90.16	90.16	96.6	N/A	127.19	N/A	N/A	N/A	N/A
2/15/2024	CDM	23	10000055	PBB PT TRIAL KIT		IP			    	270	299	194.35	29.9	299	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	208.4	174.02	N/A	200.33	206.31	N/A	N/A	N/A	N/A	N/A	269.1	N/A	N/A	128.57	128.57	N/A	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	24	10000055	PBB PT TRIAL KIT		OP			    	270	299	194.35	29.9	299	N/A	187.77	85.21	N/A	187.77	N/A	201.23	N/A	N/A	201.23	N/A	N/A	208.4	174.02	N/A	200.33	206.31	N/A	N/A	179.4	N/A	N/A	269.1	239.2	N/A	167.44	167.44	179.4	N/A	236.21	N/A	N/A	N/A	N/A
2/15/2024	CDM	25	10000056	PBB LEAD BLANK		IP			    	272	116	75.4	11.6	116	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	80.85	67.51	N/A	77.72	80.04	N/A	N/A	N/A	N/A	N/A	104.4	N/A	N/A	49.88	49.88	N/A	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	26	10000056	PBB LEAD BLANK		OP			    	272	116	75.4	11.6	116	N/A	72.85	33.06	N/A	72.85	N/A	78.07	N/A	N/A	78.07	N/A	N/A	80.85	67.51	N/A	77.72	80.04	N/A	N/A	69.6	N/A	N/A	104.4	92.8	N/A	64.96	64.96	69.6	N/A	91.64	N/A	N/A	N/A	N/A
2/15/2024	CDM	27	10000057	PBB CHIBA 22GA X 15 NEEDLE		IP			    	272	23	14.95	2.3	23	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	16.03	13.39	N/A	15.41	15.87	N/A	N/A	N/A	N/A	N/A	20.7	N/A	N/A	9.89	9.89	N/A	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	28	10000057	PBB CHIBA 22GA X 15 NEEDLE		OP			    	272	23	14.95	2.3	23	N/A	14.44	6.55	N/A	14.44	N/A	15.48	N/A	N/A	15.48	N/A	N/A	16.03	13.39	N/A	15.41	15.87	N/A	N/A	13.8	N/A	N/A	20.7	18.4	N/A	12.88	12.88	13.8	N/A	18.17	N/A	N/A	N/A	N/A
2/15/2024	CDM	29	10000058	PBB PT PROGRAMMER KIT		IP			    	270	2303	1496.95	230.3	2303	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	1605.19	1340.35	N/A	1543.01	1589.07	N/A	N/A	N/A	N/A	N/A	2072.7	N/A	N/A	990.29	990.29	N/A	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	30	10000058	PBB PT PROGRAMMER KIT		OP			    	270	2303	1496.95	230.3	2303	N/A	1446.28	656.35	N/A	1446.28	N/A	1549.92	N/A	N/A	1549.92	N/A	N/A	1605.19	1340.35	N/A	1543.01	1589.07	N/A	N/A	1381.8	N/A	N/A	2072.7	1842.4	N/A	1289.68	1289.68	1381.8	N/A	1819.37	N/A	N/A	N/A	N/A
2/15/2024	CDM	31	10000059	PBB PT CHARGING SYSTEM		IP			    	270	4245	2759.25	424.5	4245	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	2958.77	2470.59	N/A	2844.15	2929.05	N/A	N/A	N/A	N/A	N/A	3820.5	N/A	N/A	1825.35	1825.35	N/A	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	32	10000059	PBB PT CHARGING SYSTEM		OP			    	270	4245	2759.25	424.5	4245	N/A	2665.86	1209.82	N/A	2665.86	N/A	2856.88	N/A	N/A	2856.88	N/A	N/A	2958.77	2470.59	N/A	2844.15	2929.05	N/A	N/A	2547	N/A	N/A	3820.5	3396	N/A	2377.2	2377.2	2547	N/A	3353.55	N/A	N/A	N/A	N/A
2/15/2024	CDM	33	10000060	PBB INSERTION NEEDLE		IP			    	272	332	215.8	33.2	332	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	231.4	193.22	N/A	222.44	229.08	N/A	N/A	N/A	N/A	N/A	298.8	N/A	N/A	142.76	142.76	N/A	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	34	10000060	PBB INSERTION NEEDLE		OP			    	272	332	215.8	33.2	332	N/A	208.5	94.62	N/A	208.5	N/A	223.44	N/A	N/A	223.44	N/A	N/A	231.4	193.22	N/A	222.44	229.08	N/A	N/A	199.2	N/A	N/A	298.8	265.6	N/A	185.92	185.92	199.2	N/A	262.28	N/A	N/A	N/A	N/A
2/15/2024	CDM	35	10000061	PBB MEDTRONIC REFILL KIT		IP			    	272	64	41.6	6.4	64	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	44.61	37.25	N/A	42.88	44.16	N/A	N/A	N/A	N/A	N/A	57.6	N/A	N/A	27.52	27.52	N/A	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	36	10000061	PBB MEDTRONIC REFILL KIT		OP			    	272	64	41.6	6.4	64	N/A	40.19	18.24	N/A	40.19	N/A	43.07	N/A	N/A	43.07	N/A	N/A	44.61	37.25	N/A	42.88	44.16	N/A	N/A	38.4	N/A	N/A	57.6	51.2	N/A	35.84	35.84	38.4	N/A	50.56	N/A	N/A	N/A	N/A
2/15/2024	CDM	37	10000062	PBB CLIK ANCHOR		IP			    	278	1079	701.35	107.9	1079	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	752.06	627.98	N/A	722.93	744.51	N/A	N/A	N/A	N/A	N/A	971.1	N/A	N/A	463.97	463.97	N/A	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	38	10000062	PBB CLIK ANCHOR		OP			    	278	1079	701.35	107.9	1079	N/A	677.61	307.51	N/A	677.61	N/A	726.17	N/A	N/A	726.17	N/A	N/A	752.06	627.98	N/A	722.93	744.51	N/A	N/A	647.4	N/A	N/A	971.1	863.2	N/A	604.24	604.24	647.4	N/A	852.41	N/A	N/A	N/A	N/A
2/15/2024	CDM	39	10000063	PBB STEERING KIT		IP			    	272	369	239.85	36.9	369	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	257.19	214.76	N/A	247.23	254.61	N/A	N/A	N/A	N/A	N/A	332.1	N/A	N/A	158.67	158.67	N/A	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	40	10000063	PBB STEERING KIT		OP			    	272	369	239.85	36.9	369	N/A	231.73	105.16	N/A	231.73	N/A	248.34	N/A	N/A	248.34	N/A	N/A	257.19	214.76	N/A	247.23	254.61	N/A	N/A	221.4	N/A	N/A	332.1	295.2	N/A	206.64	206.64	221.4	N/A	291.51	N/A	N/A	N/A	N/A
2/15/2024	CDM	41	10000064	PBB REVISION KIT		IP			    	272	988	642.2	98.8	988	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	688.64	575.02	N/A	661.96	681.72	N/A	N/A	N/A	N/A	N/A	889.2	N/A	N/A	424.84	424.84	N/A	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	42	10000064	PBB REVISION KIT		OP			    	272	988	642.2	98.8	988	N/A	620.46	281.58	N/A	620.46	N/A	664.92	N/A	N/A	664.92	N/A	N/A	688.64	575.02	N/A	661.96	681.72	N/A	N/A	592.8	N/A	N/A	889.2	790.4	N/A	553.28	553.28	592.8	N/A	780.52	N/A	N/A	N/A	N/A
2/15/2024	CDM	43	10000065	PBB MULTILEAD TRIAL CABLE		IP			    	272	846	549.9	84.6	846	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	589.66	492.37	N/A	566.82	583.74	N/A	N/A	N/A	N/A	N/A	761.4	N/A	N/A	363.78	363.78	N/A	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	44	10000065	PBB MULTILEAD TRIAL CABLE		OP			    	272	846	549.9	84.6	846	N/A	531.29	241.11	N/A	531.29	N/A	569.36	N/A	N/A	569.36	N/A	N/A	589.66	492.37	N/A	566.82	583.74	N/A	N/A	507.6	N/A	N/A	761.4	676.8	N/A	473.76	473.76	507.6	N/A	668.34	N/A	N/A	N/A	N/A
2/15/2024	CDM	45	10000066	PBB TUNNELING TOOL		IP			    	272	352	228.8	35.2	352	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	245.34	204.86	N/A	235.84	242.88	N/A	N/A	N/A	N/A	N/A	316.8	N/A	N/A	151.36	151.36	N/A	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	46	10000066	PBB TUNNELING TOOL		OP			    	272	352	228.8	35.2	352	N/A	221.06	100.32	N/A	221.06	N/A	236.9	N/A	N/A	236.9	N/A	N/A	245.34	204.86	N/A	235.84	242.88	N/A	N/A	211.2	N/A	N/A	316.8	281.6	N/A	197.12	197.12	211.2	N/A	278.08	N/A	N/A	N/A	N/A
2/15/2024	CDM	47	10000067	PBB SPLIT SUTURE SLEEVE		IP			    	272	148	96.2	14.8	148	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	103.16	86.14	N/A	99.16	102.12	N/A	N/A	N/A	N/A	N/A	133.2	N/A	N/A	63.64	63.64	N/A	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	48	10000067	PBB SPLIT SUTURE SLEEVE		OP			    	272	148	96.2	14.8	148	N/A	92.94	42.18	N/A	92.94	N/A	99.6	N/A	N/A	99.6	N/A	N/A	103.16	86.14	N/A	99.16	102.12	N/A	N/A	88.8	N/A	N/A	133.2	118.4	N/A	82.88	82.88	88.8	N/A	116.92	N/A	N/A	N/A	N/A
2/15/2024	CDM	49	10000068	PBB COOLED RF KITS		IP			    	272	1603	1041.95	160.3	1603	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	1117.29	932.95	N/A	1074.01	1106.07	N/A	N/A	N/A	N/A	N/A	1442.7	N/A	N/A	689.29	689.29	N/A	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	50	10000068	PBB COOLED RF KITS		OP			    	272	1603	1041.95	160.3	1603	N/A	1006.68	456.85	N/A	1006.68	N/A	1078.82	N/A	N/A	1078.82	N/A	N/A	1117.29	932.95	N/A	1074.01	1106.07	N/A	N/A	961.8	N/A	N/A	1442.7	1282.4	N/A	897.68	897.68	961.8	N/A	1266.37	N/A	N/A	N/A	N/A
2/15/2024	CDM	51	10000069	PBB TITAN ANCHOR 355039		IP			    	272	401	260.65	40.1	401	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	279.5	233.38	N/A	268.67	276.69	N/A	N/A	N/A	N/A	N/A	360.9	N/A	N/A	172.43	172.43	N/A	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	52	10000069	PBB TITAN ANCHOR 355039		OP			    	272	401	260.65	40.1	401	N/A	251.83	114.28	N/A	251.83	N/A	269.87	N/A	N/A	269.87	N/A	N/A	279.5	233.38	N/A	268.67	276.69	N/A	N/A	240.6	N/A	N/A	360.9	320.8	N/A	224.56	224.56	240.6	N/A	316.79	N/A	N/A	N/A	N/A
2/15/2024	CDM	53	10000070	PBB CLIK ANCHOR		IP			    	272	1079	701.35	107.9	1079	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	752.06	627.98	N/A	722.93	744.51	N/A	N/A	N/A	N/A	N/A	971.1	N/A	N/A	463.97	463.97	N/A	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	54	10000070	PBB CLIK ANCHOR		OP			    	272	1079	701.35	107.9	1079	N/A	677.61	307.51	N/A	677.61	N/A	726.17	N/A	N/A	726.17	N/A	N/A	752.06	627.98	N/A	722.93	744.51	N/A	N/A	647.4	N/A	N/A	971.1	863.2	N/A	604.24	604.24	647.4	N/A	852.41	N/A	N/A	N/A	N/A
2/15/2024	CDM	55	10000073	PBB SENSORCAINEMPF 025		IP			    	250	9	5.85	0.9	9	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	6.27	5.24	N/A	6.03	6.21	N/A	N/A	N/A	N/A	N/A	8.1	N/A	N/A	3.87	3.87	N/A	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	56	10000073	PBB SENSORCAINEMPF 025		OP			    	250	9	5.85	0.9	9	N/A	5.65	2.56	N/A	5.65	N/A	6.06	N/A	N/A	6.06	N/A	N/A	6.27	5.24	N/A	6.03	6.21	N/A	N/A	5.4	N/A	N/A	8.1	7.2	N/A	5.04	5.04	5.4	N/A	7.11	N/A	N/A	N/A	N/A
2/15/2024	CDM	57	10000171	PBB INJECTION BUMETANIDE 0 5MG		IP		S0171	    	250	9	5.85	0.9	9	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	6.27	5.24	N/A	6.03	6.21	N/A	N/A	N/A	N/A	N/A	8.1	N/A	N/A	3.87	3.87	N/A	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	58	10000171	PBB INJECTION BUMETANIDE 0 5MG		OP		S0171	    	250	9	5.85	0.01	9	N/A	5.65	2.56	N/A	5.65	N/A	4.02	N/A	N/A	4.02	N/A	N/A	6.27	5.24	N/A	6.03	6.21	N/A	0.01	5.4	N/A	N/A	8.1	7.2	N/A	5.04	5.04	5.4	N/A	7.11	N/A	N/A	N/A	N/A
2/15/2024	CDM	59	10000585	PBB INJECTION ONABOTULINUMTOXINA		IP		J0585	    	636	16	10.4	1.6	16	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	11.15	9.31	N/A	10.72	11.04	N/A	N/A	N/A	N/A	N/A	14.4	N/A	N/A	6.88	6.88	N/A	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	60	10000585	PBB INJECTION ONABOTULINUMTOXINA		OP		J0585	    	636	16	10.4	1.6	32.66	6.33	10.05	6.23	6.23	10.05	6.96	32.66	6.52	6.23	32.66	6.33	6.33	11.15	9.31	6.35	10.72	11.04	6.23	3.6	9.6	6.33	6.23	14.4	12.8	6.17	8.96	8.96	9.6	6.23	12.64	6.33	5.92	6.23	6.33
2/15/2024	CDM	61	10001030	PBB INJECTIONDEPOMEDROL 40 MG		IP		J1030	    	636	9	5.85	0.9	9	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	6.27	5.24	N/A	6.03	6.21	N/A	N/A	N/A	N/A	N/A	8.1	N/A	N/A	3.87	3.87	N/A	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	62	10001030	PBB INJECTIONDEPOMEDROL 40 MG		OP		J1030	    	636	9	5.85	0.9	37.15	7.2	5.65	2.56	N/A	5.65	7.92	37.15	7.42	N/A	37.15	7.2	7.2	6.27	5.24	N/A	6.03	6.21	N/A	N/A	5.4	7.2	N/A	8.1	7.2	N/A	5.04	5.04	5.4	N/A	7.11	7.2	N/A	N/A	N/A
2/15/2024	CDM	63	10001040	PBB INJECTIONDEPOMEDROL 80 MG		IP		J1040	    	636	40	26	4	40	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	27.88	23.28	N/A	26.8	27.6	N/A	N/A	N/A	N/A	N/A	36	N/A	N/A	17.2	17.2	N/A	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	64	10001040	PBB INJECTIONDEPOMEDROL 80 MG		OP		J1040	    	636	40	26	4	55.52	10.76	25.12	11.4	N/A	25.12	11.84	55.52	11.08	N/A	55.52	10.76	10.76	27.88	23.28	N/A	26.8	27.6	N/A	N/A	24	10.76	N/A	36	32	N/A	22.4	22.4	24	N/A	31.6	10.76	N/A	N/A	N/A
2/15/2024	CDM	65	10001100	PBB DEXAMETHASONE SODIUM PHOS		IP		J1100	    	636	9	5.85	0.9	9	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	6.27	5.24	N/A	6.03	6.21	N/A	N/A	N/A	N/A	N/A	8.1	N/A	N/A	3.87	3.87	N/A	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	66	10001100	PBB DEXAMETHASONE SODIUM PHOS		OP		J1100	    	636	9	5.85	0.13	9	0.13	5.65	2.56	N/A	5.65	0.14	0.67	0.13	N/A	0.67	0.13	0.13	6.27	5.24	N/A	6.03	6.21	N/A	N/A	5.4	0.13	N/A	8.1	7.2	N/A	5.04	5.04	5.4	N/A	7.11	0.13	N/A	N/A	N/A
2/15/2024	CDM	67	10001755	PBB EPIDURAL NEEDLE C1755		IP		C1755	    	272	37	24.05	3.7	37	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	25.79	21.53	N/A	24.79	25.53	N/A	N/A	N/A	N/A	N/A	33.3	N/A	N/A	15.91	15.91	N/A	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	68	10001755	PBB EPIDURAL NEEDLE C1755		OP		C1755	    	272	37	24.05	3.7	37	N/A	23.24	10.54	N/A	23.24	N/A	24.9	N/A	N/A	24.9	N/A	N/A	25.79	21.53	N/A	24.79	25.53	N/A	N/A	22.2	N/A	N/A	33.3	29.6	N/A	20.72	20.72	22.2	N/A	29.23	N/A	N/A	N/A	N/A
2/15/2024	CDM	69	10001772	PBB SPINAL INFUSION PUMPREVISION C1772		IP		C1772	    	278	50130	32584.5	5013	50130	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	34940.61	29175.66	N/A	33587.1	34589.7	N/A	N/A	N/A	N/A	N/A	45117	N/A	N/A	21555.9	21555.9	N/A	N/A	N/A	N/A	N/A	N/A	N/A
